,Unnamed: 0,id,thread_title,reply_split,classification
19,19,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Seem like an appropriate place?,-1
20,20,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"A, better.",-1
21,21,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,But maybe it's usefull to say it is our standard for a review.,-1
22,22,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,If you hadn't said it to me I wouldn't have notived.,-1
23,23,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Just a suggestion.,-1
24,24,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Why not start a new equipment reviews index rather than just the equipment ""general index"" we have know?",-1
25,25,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"It can be used for reviews only - not the ""does anyone know or can they recommend a rubber or blade for me question""The stickies about rubber mass data base, equipment index, sponge hardness stickies could be moved over in to it and it be made clear that there is an agreed format for posting reviews.The reviews could then be linked easily to the products you carry in your on line store haggisv.If there is to be a template for what should be in a review, can we agree on a consistent format for the the ""subject"" title for these reviews as this will help with the ""search"" facilities on the forum, even if it's as simple as ""Make & Name & Colour & Sponge Thickness""I'd also like ""sponge thickness used"" to be included as part of the review as this definitely affects the playing characteristics of a rubber and how much playing time the rubber has been used before the review was written.And I'd like..... gee it's like being a little boy and writing out that wish list for Santa!",-1
26,26,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Thanks guys!,-1
27,27,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I think I've implimented all the extra bits you mentioned...,-1
28,28,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I've updated the title, and stickied the thread...If you have any mre comments on this, please post it here, so that we can continue to improve it...",-1
29,29,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Sure debater, you can maintain it ok?I'll stop updating mine then, no point in having both huh?",-1
30,30,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"edit: btw, you may not realise but the only ""do you know about this rubber?""",-1
31,31,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,type threads that make it into the review index are one's where there is actually some decent info having been provided.,-1
32,32,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,This took a great deal of effort to decide this as to what went and it what didn't.,-1
33,33,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Its not just all been dumped in based on a rubber or blade name.,-1
34,34,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Reb wrote:Keep it simple.,-1
35,35,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,If you don't post a review in this format your thread will be deleted.And as your reply I quoted from didn't follow the format I'd start by deleting that!,-1
36,36,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I see.,-1
37,37,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,So you'd rather have NO info on something you are looking for if you can't have a perfect format review.,-1
38,38,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I guess I'm just too grateful to find ANY info that I can!,-1
39,39,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Yep.,-1
40,40,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,A little knowledge is a dangerous thing and can develop in to a full blown EJ virus supported by purchases based on partial or inaccurate reviews.,-1
41,41,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"On a serious note, the most important factor in a review for me, is not what the reviewer has included, but how much I trust the reviewers judgement.",-1
42,42,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"If I want more information because the review doesn't cover the aspects I'm interested in, I'll either post a question or contact the forum member direct...as you well know Reb - and the tenergy 2.1mm is looking very tempting, but I must resist",-1
43,43,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Resistance is Useless!,-1
44,44,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"With respect to what you said though, I agree that trusting the reviewers judgment and asking further questions is important.",-1
45,45,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Which in turn means that once the initial review is done in a format that helps to corner as much info as it can first, the review then relies upon input from others or more info from the reviewer in some sort of dialogue.",-1
46,46,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,This is best captured in the review thread rather than in PM otherwise good info gets lost on just one person.,-1
47,47,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Starting to sound like the review thread would end up being just like a ""how would this rubber suit me?""",-1
48,48,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"type thread, but with a more organised start.",-1
49,49,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Hmm, maybe those other threads hold more info than first thought?",-1
50,50,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I'm starting to wonder if a 2nd template, with catagories of how good the rubber is for every stroke, would be useful?For example we can describe how the rubber performs for loops, blocks, hits, etc.",-1
51,51,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"We can still cover the same topics, but I think in some instances this format is preferable.",-1
52,52,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Maybe have a look at the proforma for the shortpips?,-1
53,53,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,It is a little more detailed and could serve as a good guideline.viewtopic.php?f=13&t=7926,-1
54,54,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"@haggisv,You should add weight of the rubber into the template.",-1
55,55,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,This should be the weight of the uncut sheet and provide the xy dimensions of it.,-1
56,56,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"This way, you can quantify how much weight you will expect to add to you blade by using the (weight of sheet / uncut sheet dimensions) x dimensions of blade.Another thing too, so that the review is more comparable, I would advise that the reviewer provide a list of other rubbers that they have used (current and past).",-1
57,57,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,This allows readers to gauge how much experience the user has with other rubbers.,-1
58,58,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Agree that all factual details of the rubbers should be stated, such as weight, dimensions and even the ITTF numbers.",-1
59,59,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"(Last night, I struggled for 2 hours to determine a piece of rubber from only the available ITTF number) The manufacturers do not state these factual details themselves.",-1
60,60,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I wonder why?,-1
61,61,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,So we must help ourselves then.,-1
62,62,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,The blade used also determines the characteristics.,-1
63,63,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"It would be good to state the blade used for the review.Other properties such as speed, spin, control, throw angle ... cannot be measured in absolute terms.",-1
64,64,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,It is largely dependant on the skill and experience of the reviewer.,-1
65,65,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,It is relevant to know about the reviewer's level of play.Where is this list of reviews kept?,-1
66,66,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Was it converted to a database for comparison purposes?,-1
67,67,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Although the idea of a proforma is good and useful, very few people actually use it.",-1
68,68,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"We don't want to force people to use it for reviews here, because it takes a lot of time and effort, and not everyone is able or willing.",-1
69,69,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"In the end, any information about a piece of equipment is better than none, and discussions about a piece of equipment usually reveals more information anyway.",-1
70,70,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,What was the name of that website - tabletennisdb.com?,-1
71,71,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I can't find it any more, maybe it's defunct.",-1
72,72,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I think back then everyone was inspired to set up a crowdsourced database like they had, so the idea was to set up something that could be organized, and comparisons easily made.",-1
73,73,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I soon learned not to take the reviews on that website too seriously - there were some real poets and imaginative people posting there.,-1
74,74,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I mean, THIS rubber was great for looping, not so great for blocking, THAT rubber was rated 8.0 for blocking and only 3.0 for looping, etc., when you actually bought those rubbers you find you can't really tell the difference between them..  Iskandar",-1
75,75,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"It is now revspin.net, no more tabletennisDB",-1
76,76,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Exactly.,-1
77,77,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,But it still serves a purpose especially when you have NOTHING available to base on.Can't rely your selection decision to be based solely on:1) The manufacturer's description2) Forum discussions3) Websites and Youtube articles4) Salesman's adviceThe only reliable source would be skill and experienced players who had used the equipment previously.,-1
78,78,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,But that is rarely available.,-1
79,79,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Perhaps the reviews are not accurate and therefore not as reliable.If they are I am sure lots of players would refer to it.Because the characteristics are so subjective, would comparable readings rather than absolute readings be better?",-1
80,80,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I think a discussion is usually more useful compared to a review...and reviews on forums usually do turn into discussions, which is great.",-1
81,81,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,The problem is that a lot of those descriptions you find online were pretty close to worthless.,-1
82,82,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Actually, if you think about it, for the most part, it is exactly the above four things that we have to base our selections on.",-1
83,83,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"And to be honest, most manufacturer descriptions are worthless for brand-to-brand comparisons, and a lot of forum discussions and YouTube videos are way too vague to be of any use.",-1
84,84,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Salesmen are actually fairly good sources of information, since a lot of them ARE players, then again, even if they're very high level players they'd have their own preferences (which are, by definition, biased..  ).",-1
85,85,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"The best detailed descriptions I've found, actually, are on vendor websites (in particular tabletennis11.com).",-1
86,86,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,The truth is.. rubbers don't really differ all that much from each other.,-1
87,87,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Especially Chinese ones.,-1
88,88,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Differences are subtle, not glaring, and in the end you'll end up playing the same anyway.",-1
89,89,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"There ISN'T one special rubber for any given player, there is actually a large group of rubbers that that player would be able to use with equal effect.",-1
90,90,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I buy different rubbers not because I think the next sheet will be better for me, but because I'm curious about what people see in them (and usually, I find exactly the same thing as the previous sheet, even if the new one is slightly faster or slightly slower).",-1
91,91,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"So in the end, reviews are of limited value anyway and it's no use getting worked up over the lack of reliable ones.",-1
92,92,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"In any case, having nothing is better than bad reviews..  Iskandar",-1
93,93,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I've heard you mention this a few times...but that does not make it ""the truth"".",-1
94,94,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Some players are much more sensitive to different equipment than others, and of course their style and level can make a significant difference too.",-1
95,95,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I agree that there are many rubbers that play similar, but there is also a large number of rubbers that play dramatically different.",-1
96,96,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I know you like to try the cheap rubbers from the various Chinese sources (because you mention them frequently  ), nothing wrong with that of course, but it's not really representative of the full range of rubbers available.",-1
97,97,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Thanks haggisv, Iskandar, for the discussion.Back to square one, there seems no way to improve the current state of affairs then.",-1
98,98,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I can't say I've tried a LOT of expensive rubbers, but I have tried so far (let's see) - Palio Macro Pro, Rasant, Rasant Turbo, Evolution MX-P, Rakza X.. and yes, you can tell them apart but I can do pretty much the same thing with all of them.",-1
99,99,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Mind you, they're all quite similar (hard sponged Tensor-type rubbers).",-1
100,100,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"And the current bat I'm using has one of those $5 sheets of Palio Emperor Dragon on it and while I can tell the difference between it and Rakza X, it doesn't affect what shots I can make and what I can't.",-1
101,101,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"Blades are different - I find a great deal more difference when switching blades, those DO affect the shots, at least to a much greater extent than rubber does.",-1
102,102,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,I do have a sheet of Rakza 7 I will try next - going for softer sponge this time to see if it makes a difference (some people claim you get twice the spin compared to Rakza X..,-1
103,103,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,True?,-1
104,104,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Not true?,-1
105,105,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Hyperbole?,-1
106,106,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,How do you measure it?,-1
107,107,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,).,-1
108,108,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"The previous choices of expensive rubber was mainly because I wanted to see if I could find a rubber that was so fast I could NOT use it (so far, failure.. they're all fairly easy to use  ).",-1
109,109,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"I do accept the fact that there are others who are a lot more sensitive to rubber differences than I am - after all, why do something like 95-97% of pros (even the Chinese!)",-1
110,110,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,use Tenergy 05 when a lot of them are sponsored by other companies and can presumably get other brands without having to pay out of their own pockets for it?,-1
111,111,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,"The point is that comparing rubbers IS very subjective, because the differences are subtle, so writing good, useful reviews is 1) difficult, 2) might not matter in most cases anyhow, and therefore 3) not really worth obsessing over.",-1
112,112,5f6c218829a893d240caed5e,Inverted Rubber review format / proforma - PLEASE USE THIS!,Iskandar,-1
113,113,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,You'll find it hard to find reviews on a very new rubber.,-1
114,114,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"edit: except here http://ooakforum.com/viewtopic.php?f=44&t=32404   Maybe if money isn't an issue, trust the the manufacturer has made some improvements and you would be using the latest and greatest.Sponge hardness could be a consideration also so maybe if you like a particular hardness then have a look at what they all are.",-1
115,115,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,43 is probably rated medium so a safe enough bet.,-1
116,116,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I'm not sure you'd notice a couple of degrees here or there anyway.,-1
117,117,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I watched that same video with the English translation and subtitles as well as googled reviews of them all.,-1
118,118,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I guess I'll just have to try my luck and see if I like it the newest version.,-1
119,119,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Purchased joola rhyzer 43 in black/Max thickness.,-1
120,120,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I'll give you an update on what i think of it when it comes if you're interested.,-1
121,121,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"Yes, for sure",-1
122,122,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,So i finally got to play with my rhyzer 43 today at a local table tennis club.,-1
123,123,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I can only say positive things about it so far due to 1.,-1
124,124,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I only played with it for 3 hours2.,-1
125,125,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I don't get to play/practice often so faults in my game/technique I don't want to blame it on the rubber3.,-1
126,126,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I have only ever owned 1 high end rubber before being butterfly tenergy 05 as my comparsionI wanted to have a video of me playing with it but my wife didn't want to stay at the tt club and wanted to grocery shop/errands & i don't think these old guys at the tt club would want to hold my phone and record me instead of playing.So two things that I feel stands out with this rubber.Its fast & loud.,-1
127,127,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,If you have good technique / foot work it is really fun to play with.,-1
128,128,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,My opponents were overpowered in topspin rallies or the ball came back to fast for them to respond against my loops & drives.,-1
129,129,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"I want to say more about this rubber but I don't want to misrepresent it because I rarely play/know all the techniques/technical aspects of the game and how a rubber should perform close,mid,far from table with the correct technique.",-1
130,130,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Lets just say I had fun with it from all distances especially mid distance.,-1
131,131,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Plus of going to a tt club is I got to try other players equipment as well as let them try mine.,-1
132,132,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,So I got to compare rhyzer 43 first hand specifically to tenergy 05 and joola rhyzm -P (both in max thickness that were both fairly new).,-1
133,133,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,To my eyes the rhyzer had more spin with harder/medium strokes and a more linear arc (but still safe arc to go over the net consistently) compared to the 05 & rhyzm -P. Rhyzer 43 was faster than T05 & J-P and the rhyzer 43 is on a slow blade being joola chen defender compared to the butterfly zlc blade & the other one was hinoki wood composition but i forget what it was.,-1
134,134,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I liked this rubber alot so I ordered another 2 rhyzer 43 red+black in max thickness & ordered another chen defender blade.,-1
135,135,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Our tt club is a seller/distributor of joola & butterfly products so he gets discounts from the manufacturer (mostly just discounts from joola).,-1
136,136,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Those are my honest thoughts about this rubber.,-1
137,137,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I hope to make a video of it to let the rubber speak for its self but I probably wont go back to the tt club until i have to pick up my order due to work and becoming a first time expecting father in just a couple of weeks.,-1
138,138,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,The other rubber i used on my blade was a cheap friendship 729 soft fx.,-1
139,139,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Would prefer rhyzer 43 on both sides.,-1
140,140,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"Having just wasted £40 on a sheet of red Rhyzer 43 2.0mm I have say that as a result of the very thin top sheet and high catapult sponge this is a rubber you will love or hate depending on your playing style.If you stand back from the table and topspin or fast block everything with good modern short stroke technique it is great, but for a close to the table push,block hit type game not so great.",-1
141,141,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,The biggest problem to me is the total lack of feel and precision due to the very thin and soft top sheet and the high catapult from the fast medium soft sponge coming into play much earlier than say on the latest Tibhar Evolution or Aurus series Rubbers.,-1
142,142,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,In order of hardness:Rhyzm > Rhyzm - P > Rhyzer 43Glue effect:Rhyzer 43 > Rhyzm - P > Rhyzm.Oldest to newest:Rhyzm > Rhyzm - P > Rhyzer 43In my opinion Rhyzm require very sound technique (USATT 2000+) to get the most out of it.,-1
143,143,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"But, if you hit the ball cleanly you get a very strong ball.",-1
144,144,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Most people would have a hard time using it on the backhand.,-1
145,145,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,After a few months I am actually getting on quite well with Rhyzer 43 2mm red for the following reasons1.,-1
146,146,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,The high initial catapult has reduced a bit and the top sheet and sponge feel a bit firmer probably due to the factory booster wearing off.2.,-1
147,147,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,I have switched it to the slower back hand side of my Black & White blade but still plenty fast for aggressive close to table forehand play.,-1
148,148,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"The extra dwell of the slow side makes easier to spin up the ball and gives more control on blocks, whilst the fast sponge still gives lots of speed when needed.3.",-1
149,149,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Much improved technique.,-1
150,150,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,It took four weeks hitting ball everywhere but I now have a more compact swing with proper rotation.,-1
151,151,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,As often mentionsed these fast tensors reallly show up poor technique.Just bought a sheet of Andro R42 2mm for my harder Bloodhound blade.,-1
152,152,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Will be an interesting comparison.,-1
153,153,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"12 months on and having settled on Rasanter R42 as my FH rubber, I stuck my old sheet of Rhyzer R43 onto my Dr Neubauer Bloodhound blade.",-1
154,154,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,Being a hard and low throw blade designed primarily for blocking with pips out rubbers finding a rubber that will enable close to the table spinney loops is quite difficult.,-1
155,155,5f6c21df035f29fdaf67ffa3,Joola rhyzer 43 an improvement or worth buying? Help me pick,"The Rhyzer R43 was in fact remarkably effective having shrunk 2-3mm and lost most of its initial factory extreme tension, still fast and spinny but more controlled with a firmer much less bouncy feel.",-1
