,id,thread_title,reply_split,classification,reply_sub,reply_words,entity,entity_locs,spin,speed,hardness,tackiness,weight,control,throw angle,durability,blocking,looping,throw,specific_aspects_cnt,g_comparative_word_begin_idx,g_comparative,g_comparative_words,comparative_word_begin_idx,comparative,comparative_words,comparative_aspects
55,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,T64 has longer thinner pimples with more space between pimples so the pips give more and the rubber feels softer.,comparative,Butterfly-Tenergy-64 has longer thinner pimples with more space between pimples so the pips give more and the rubber feels softer.,"['Butterfly-Tenergy-64', 'has', 'longer', 'thinner', 'pimples', 'with', 'more', 'space', 'between', 'pimples', 'so', 'the', 'pips', 'give', 'more', 'and', 'the', 'rubber', 'feels', 'softer', '.']",['Butterfly-Tenergy-64'],[0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[36],['greater'],['more'],[123],['less'],['softer'],['hardness']
56,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T05 pimples are a little shorter, thicker, and closer together so the rubber feels harder.",comparative,"Butterfly-Tenergy-05 pimples are a little shorter, thicker, and closer together so the rubber feels harder.","['Butterfly-Tenergy-05', 'pimples', 'are', 'a', 'little', 'shorter', ',', 'thicker', ',', 'and', 'closer', 'together', 'so', 'the', 'rubber', 'feels', 'harder', '.']",['Butterfly-Tenergy-05'],[0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[34, 47]","['greater', 'equal']","['thicker', 'closer to']",[100],['greater'],['harder'],['hardness']
68,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"1) T05: Slower, More Spin, Higher Throw Angle.",comparative,"1) Butterfly-Tenergy-05: Slower, More Spin, Higher Throw Angle.","['1', ')', 'Butterfly-Tenergy-05', ':', 'Slower', ',', 'More', 'Spin', ',', 'Higher', 'Throw', 'Angle', '.']",['Butterfly-Tenergy-05'],[4],1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"[9, 16]","['less', 'greater']","['low', 'more']","[33, 25, 44]","['greater', 'less', 'greater']","['more spin', 'slower', 'higher']","['spin', 'speed', 'throw angle']"
69,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"2) T64: Faster, Less Spin, Lower Throw Angle.",comparative,"2) Butterfly-Tenergy-64: Faster, Less Spin, Lower Throw Angle.","['2', ')', 'Butterfly-Tenergy-64', ':', 'Faster', ',', 'Less', 'Spin', ',', 'Lower', 'Throw', 'Angle', '.']",['Butterfly-Tenergy-64'],[4],1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"[27, 16]","['less', 'less']","['low', 'less']","[33, 25, 43, 44]","['less', 'greater', 'less', 'less']","['less spin', 'faster', ' lower', 'lower throw']","['spin', 'speed', 'throw angle', 'throw angle']"
88,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But T80 is less sensitive to it etc.,comparative,But Butterfly-Tenergy-80 is less sensitive to it etc.,"['But', 'Butterfly-Tenergy-80', 'is', 'less', 'sensitive', 'to', 'it', 'etc', '.']",['Butterfly-Tenergy-80'],[4],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11],['less'],['less'],[],[],[],[]
90,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T25 is also a very-very good rubber, just a way different than other Tenergies and suits less people.",comparative,"Butterfly-Tenergy-25 is also a very-very good rubber, just a way different than other Tenergies and suits less people.","['Butterfly-Tenergy-25', 'is', 'also', 'a', 'very-very', 'good', 'rubber', ',', 'just', 'a', 'way', 'different', 'than', 'other', 'Tenergies', 'and', 'suits', 'less', 'people', '.']",['Butterfly-Tenergy-25'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[89],['less'],['less'],[],[],[],[]
91,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.",comparative,"Butterfly-Tenergy-80 has a little bit more control (for me), less sensitive to spin, but Butterfly-Tenergy-05 is spinnier.","['Butterfly-Tenergy-80', 'has', 'a', 'little', 'bit', 'more', 'control', '(', 'for', 'me', ')', ',', 'less', 'sensitive', 'to', 'spin', ',', 'but', 'Butterfly-Tenergy-05', 'is', 'spinnier', '.']","['Butterfly-Tenergy-80', 'Butterfly-Tenergy-05']","[0, 93]",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"[44, 21]","['less', 'greater']","['less', 'more']","[113, 38]","['greater', 'greater']","['spinnier', 'more control']","['spin', 'control']"
96,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Like, for me, hands down, I like T05 more than the others for forehand.",comparative,"Like, for me, hands down, I like Butterfly-Tenergy-05 more than the others for forehand.","['Like', ',', 'for', 'me', ',', 'hands', 'down', ',', 'I', 'like', 'Butterfly-Tenergy-05', 'more', 'than', 'the', 'others', 'for', 'forehand', '.']",['Butterfly-Tenergy-05'],[36],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[37],['greater'],['more'],[],[],[],[]
108,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"After testing Dignics 05 on a zlc blade after the end of last season I'm back to my primorac carbon this time with T80fx, that's a better combination for me as it gives me what I was looking for, so a bit more spin and control than T64fx.",comparative,"After testing Butterfly-Dignics-05 on a zlc blade after the end of last season I'm back to my primorac carbon this time with T80fx, that's a better combination for me as it gives me what I was looking for, so a bit more spin and control than Butterfly-Tenergy-64-FX.","['After', 'testing', 'Butterfly-Dignics-05', 'on', 'a', 'zlc', 'blade', 'after', 'the', 'end', 'of', 'last', 'season', 'I', ""'m"", 'back', 'to', 'my', 'primorac', 'carbon', 'this', 'time', 'with', 'T80fx', ',', 'that', ""'s"", 'a', 'better', 'combination', 'for', 'me', 'as', 'it', 'gives', 'me', 'what', 'I', 'was', 'looking', 'for', ',', 'so', 'a', 'bit', 'more', 'spin', 'and', 'control', 'than', 'Butterfly-Tenergy-64-FX', '.']","['Butterfly-Dignics-05', 'Butterfly-Tenergy-64-FX']","[14, 246]",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"[131, 205]","['greater', 'greater']","['better', 'more']",[215],['greater'],['more spin'],['spin']
119,5f686c26b59794ca78c70938,New Viscaria vs Old Viscaria,"I own two ZJK (blue dragon), one is just like my viscaria (new tag), the other is much much more powerfull, faster, larger sweet sport and to me a much better feeling also......despite being lighter than my other alc blades.....I will swtich to this one for the plastic ball maybe.",comparative,"I own two ZJK (blue dragon), one is just like my viscaria (new tag), the other is much much more powerfull, faster, larger sweet sport and to me a much better feeling also......despite being lighter than my other alc blades.....I will swtich to this one for the plastic ball maybe.","['I', 'own', 'two', 'ZJK', '(', 'blue', 'dragon', ')', ',', 'one', 'is', 'just', 'like', 'my', 'viscaria', '(', 'new', 'tag', ')', ',', 'the', 'other', 'is', 'much', 'much', 'more', 'powerfull', ',', 'faster', ',', 'larger', 'sweet', 'sport', 'and', 'to', 'me', 'a', 'much', 'better', 'feeling', 'also', '......', 'despite', 'being', 'lighter', 'than', 'my', 'other', 'alc', 'blades', '.....', 'I', 'will', 'swtich', 'to', 'this', 'one', 'for', 'the', 'plastic', 'ball', 'maybe', '.']",[],[],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[152, 92]","['greater', 'greater']","['better', 'more']",[108],['greater'],['faster'],['speed']
138,5f686c26b59794ca78c70938,New Viscaria vs Old Viscaria,stiga handles are superior and the clipper has such a sweet feel and power ratio plus the weight of the clipper is what the poly ball is requiring IMHO.,comparative,stiga handles are superior and the clipper has such a sweet feel and power ratio plus the weight of the clipper is what the poly ball is requiring IMHO.,"['stiga', 'handles', 'are', 'superior', 'and', 'the', 'clipper', 'has', 'such', 'a', 'sweet', 'feel', 'and', 'power', 'ratio', 'plus', 'the', 'weight', 'of', 'the', 'clipper', 'is', 'what', 'the', 'poly', 'ball', 'is', 'requiring', 'IMHO', '.']",[],[],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
166,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,Yes tenergy 80 had more control but that's just a matter of getting used to your rubber and knowing how it works and yes it might be more forgiving too.,comparative,Yes Butterfly-Tenergy-80 had more control but that's just a matter of getting used to your rubber and knowing how it works and yes it might be more forgiving too.,"['Yes', 'Butterfly-Tenergy-80', 'had', 'more', 'control', 'but', 'that', ""'s"", 'just', 'a', 'matter', 'of', 'getting', 'used', 'to', 'your', 'rubber', 'and', 'knowing', 'how', 'it', 'works', 'and', 'yes', 'it', 'might', 'be', 'more', 'forgiving', 'too', '.']",['Butterfly-Tenergy-80'],[4],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,[19],['greater'],['more'],[29],['greater'],['more control'],['control']
167,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,Tenergy 64 still has a lot of spin just not as much as 80 and 80 is was better with flicks,comparative,Butterfly-Tenergy-64 still has a lot of spin just not as much as Butterfly-Tenergy-80 and Butterfly-Tenergy-80 is was better with flicks,"['Butterfly-Tenergy-64', 'still', 'has', 'a', 'lot', 'of', 'spin', 'just', 'not', 'as', 'much', 'as', 'Butterfly-Tenergy-80', 'and', 'Butterfly-Tenergy-80', 'is', 'was', 'better', 'with', 'flicks']","['Butterfly-Tenergy-64', 'Butterfly-Tenergy-80', 'Butterfly-Tenergy-80']","[0, 65, 90]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[40, 72]","['less', 'greater']","['not as', 'better']",[],[],[],[]
173,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,"I would suggest t05fx, it is softer more control and less speed, but still not slow.",comparative,"I would suggest Butterfly-Tenergy-05-FX, it is softer more control and less speed, but still not slow.","['I', 'would', 'suggest', 'Butterfly-Tenergy-05-FX', ',', 'it', 'is', 'softer', 'more', 'control', 'and', 'less', 'speed', ',', 'but', 'still', 'not', 'slow', '.']",['Butterfly-Tenergy-05-FX'],[16],0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,"[80, 53, 36]","['less', 'less', 'greater']","['low', 'less', 'more']","[97, 47, 54]","['less', 'less', 'greater']","['slow', 'softer', 'more control']","['speed', 'hardness', 'control']"
178,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,"T80 is more suited maybe for close to the table, while T64 can go further back.",comparative,"Butterfly-Tenergy-80 is more suited maybe for close to the table, while Butterfly-Tenergy-64 can go further back.","['Butterfly-Tenergy-80', 'is', 'more', 'suited', 'maybe', 'for', 'close', 'to', 'the', 'table', ',', 'while', 'Butterfly-Tenergy-64', 'can', 'go', 'further', 'back', '.']","['Butterfly-Tenergy-80', 'Butterfly-Tenergy-64']","[0, 73]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[7, 29]","['greater', 'equal']","['more', 'close to']",[],[],[],[]
185,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,"T05FX is much easier to control and if you take it with 1.9mm, it is great for everything.",comparative,"Butterfly-Tenergy-05-FX is much easier to control and if you take it with 1.9mm, it is great for everything.","['Butterfly-Tenergy-05-FX', 'is', 'much', 'easier', 'to', 'control', 'and', 'if', 'you', 'take', 'it', 'with', '1.9mm', ',', 'it', 'is', 'great', 'for', 'everything', '.']",['Butterfly-Tenergy-05-FX'],[0],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,[14],['greater'],['easier'],[32],['greater'],['easier to control'],['control']
187,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,if you want to play close T05 if much better.,comparative,if you want to play close Butterfly-Tenergy-05 if much better.,"['if', 'you', 'want', 'to', 'play', 'close', 'Butterfly-Tenergy-05', 'if', 'much', 'better', '.']",['Butterfly-Tenergy-05'],[26],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[38],['greater'],['better'],[],[],[],[]
188,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,"T80 with different dimension of pips makes the ball going higher so it is much better to play further then T05, but I cannot compare it to T64 because I have never try it.",comparative,"Butterfly-Tenergy-80 with different dimension of pips makes the ball going higher so it is much better to play further then Butterfly-Tenergy-05, but I cannot compare it to Butterfly-Tenergy-64 because I have never try it.","['Butterfly-Tenergy-80', 'with', 'different', 'dimension', 'of', 'pips', 'makes', 'the', 'ball', 'going', 'higher', 'so', 'it', 'is', 'much', 'better', 'to', 'play', 'further', 'then', 'Butterfly-Tenergy-05', ',', 'but', 'I', 'can', 'not', 'compare', 'it', 'to', 'Butterfly-Tenergy-64', 'because', 'I', 'have', 'never', 'try', 'it', '.']","['Butterfly-Tenergy-80', 'Butterfly-Tenergy-05', 'Butterfly-Tenergy-64']","[0, 124, 175]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[79],['greater'],['better'],[75],['greater'],['higher'],['throw angle']
189,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,T64 has MUCH more spin than T80…,comparative,Butterfly-Tenergy-64 has MUCH more spin than Butterfly-Tenergy-80…,"['Butterfly-Tenergy-64', 'has', 'MUCH', 'more', 'spin', 'than', 'Butterfly-Tenergy-80…']",['Butterfly-Tenergy-64'],[0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[13],['greater'],['more'],[30],['greater'],['more spin'],['spin']
220,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,They are both OFF- blades but Tibhar is little bit faster.,comparative,They are both OFF- blades but Tibhar is little bit faster.,"['They', 'are', 'both', 'OFF-', 'blades', 'but', 'Tibhar', 'is', 'little', 'bit', 'faster', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[51],['greater'],['faster'],['speed']
223,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Tenergy and Baracuda are actually remarkably quite similar, despite the $25 difference per sheet.",comparative,"Butterfly-Tenergy and Donic-Baracuda are actually remarkably quite similar, despite the $Butterfly-Tenergy-25 difference per sheet.","['Butterfly-Tenergy', 'and', 'Donic-Baracuda', 'are', 'actually', 'remarkably', 'quite', 'similar', ',', 'despite', 'the', '$', 'Butterfly-Tenergy-25', 'difference', 'per', 'sheet', '.']","['Butterfly-Tenergy', 'Donic-Baracuda', 'Butterfly-Tenergy-25']","[0, 22, 91]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[51],['equal'],['similar'],[],[],[],[]
224,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.",comparative,"Butterfly-Tenergy has a slightly higher throw angle than Donic-Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.","['Butterfly-Tenergy', 'has', 'a', 'slightly', 'higher', 'throw', 'angle', 'than', 'Donic-Baracuda', ',', 'so', 'looping', 'heavy', 'chops', 'may', 'be', 'a', 'little', 'bit', 'easier', ',', 'with', 'a', 'greater', 'arc', 'on', 'the', 'ball', '.']","['Butterfly-Tenergy', 'Donic-Baracuda']","[0, 57]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"[100, 115]","['greater', 'greater']","['easier', 'greater']",[33],['greater'],['higher'],['throw angle']
225,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.",comparative,"However, Donic-Baracuda still has a medium-high throw so they're both perfectly fine for looping.","['However', ',', 'Donic-Baracuda', 'still', 'has', 'a', 'medium-high', 'throw', 'so', 'they', ""'re"", 'both', 'perfectly', 'fine', 'for', 'looping', '.']",['Donic-Baracuda'],[10],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,[],[],[],[36],['greater'],['medium-high throw'],['throw angle']
226,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.",comparative,"In my personal opinion, Donic-Baracuda has more spin than Butterfly-Tenergy, however it lacks a little bit of power and control compared to Butterfly-Tenergy.","['In', 'my', 'personal', 'opinion', ',', 'Donic-Baracuda', 'has', 'more', 'spin', 'than', 'Butterfly-Tenergy', ',', 'however', 'it', 'lacks', 'a', 'little', 'bit', 'of', 'power', 'and', 'control', 'compared', 'to', 'Butterfly-Tenergy', '.']","['Donic-Baracuda', 'Butterfly-Tenergy', 'Butterfly-Tenergy']","[25, 59, 142]",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"[72, 37]","['less', 'greater']","['lack', 'more']",[43],['greater'],['more spin'],['spin']
229,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Baracuda is not as heavy, but in my opinion, just as good.",comparative,"Donic-Baracuda is not as heavy, but in my opinion, just as good.","['Donic-Baracuda', 'is', 'not', 'as', 'heavy', ',', 'but', 'in', 'my', 'opinion', ',', 'just', 'as', 'good', '.']",['Donic-Baracuda'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[12],['less'],['not as'],[18],['less'],['not as heavy'],['weight']
240,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Tenergy is noticeably faster than Baracuda, though not quite as spinny.",comparative,"Butterfly-Tenergy is noticeably faster than Donic-Baracuda, though not quite as spinny.","['Butterfly-Tenergy', 'is', 'noticeably', 'faster', 'than', 'Donic-Baracuda', ',', 'though', 'not', 'quite', 'as', 'spinny', '.']","['Butterfly-Tenergy', 'Donic-Baracuda']","[0, 44]",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[64],['greater'],['spinny'],[32],['greater'],['faster'],['speed']
241,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"If driving's your thing, use Tenergy.",comparative,"If driving's your thing, use Butterfly-Tenergy.","['If', 'driving', ""'s"", 'your', 'thing', ',', 'use', 'Butterfly-Tenergy', '.']",['Butterfly-Tenergy'],[31],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
242,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"If long, spinny rallies is how you tend to lean towards, Baracuda would be a better rubber.",comparative,"If long, spinny rallies is how you tend to lean towards, Donic-Baracuda would be a better rubber.","['If', 'long', ',', 'spinny', 'rallies', 'is', 'how', 'you', 'tend', 'to', 'lean', 'towards', ',', 'Donic-Baracuda', 'would', 'be', 'a', 'better', 'rubber', '.']",['Donic-Baracuda'],[59],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[9, 77]","['greater', 'greater']","['spinny', 'better']",[],[],[],[]
243,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"They're both very good rubbers in my opinion, though I would use Baracuda over Tenergy, because it is closer to my style of play.",comparative,"They're both very good rubbers in my opinion, though I would use Donic-Baracuda over Butterfly-Tenergy, because it is closer to my style of play.","['They', ""'re"", 'both', 'very', 'good', 'rubbers', 'in', 'my', 'opinion', ',', 'though', 'I', 'would', 'use', 'Donic-Baracuda', 'over', 'Butterfly-Tenergy', ',', 'because', 'it', 'is', 'closer', 'to', 'my', 'style', 'of', 'play', '.']","['Donic-Baracuda', 'Butterfly-Tenergy']","[67, 87]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[102],['equal'],['closer to'],[],[],[],[]
245,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,Ten has higher throw angle,comparative,Butterfly-Tenergy has higher throw angle,"['Butterfly-Tenergy', 'has', 'higher', 'throw', 'angle']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[22],['greater'],['higher'],['throw angle']
246,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,Ten is heavier,comparative,Butterfly-Tenergy is heavier,"['Butterfly-Tenergy', 'is', 'heavier']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[21],['greater'],['heavier'],['weight']
247,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Ten is more sensitive to incoming topspin, though can be adjusted with blade or sponge layer",comparative,"Butterfly-Tenergy is more sensitive to incoming topspin, though can be adjusted with blade or sponge layer","['Butterfly-Tenergy', 'is', 'more', 'sensitive', 'to', 'incoming', 'topspin', ',', 'though', 'can', 'be', 'adjusted', 'with', 'blade', 'or', 'sponge', 'layer']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7],['greater'],['more'],[],[],[],[]
