,id,thread_title,reply_split,classification
39,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Yes, it is a little bit shocking since you would expect to get an extremely overpowered rubber for ~$80 a sheet but actually, Baracuda surpasses Tenergy in spin.",1
40,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"However, Tenergy has a better control, and has significantly more power.",2
41,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.",1
42,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.",2
43,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.",1
44,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Baracuda is not as heavy, but in my opinion, just as good.",2
45,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Tenergy is noticeably faster than Baracuda, though not quite as spinny.",1
46,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"If driving's your thing, use Tenergy.",2
47,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"If long, spinny rallies is how you tend to lean towards, Baracuda would be a better rubber.",2
48,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,Ten has higher throw angle,2
49,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,Ten is heavier,2
50,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Ten is more sensitive to incoming topspin, though can be adjusted with blade or sponge layer",2
51,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,Bara is much more durable (according to reviewers),2
52,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,I also personally think that Baracuda is a much better rubber in terms of worth for money.,2
53,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.,1
54,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Yes, it is a little bit shocking since you would expect to get an extremely overpowered rubber for ~$80 a sheet but actually, Baracuda surpasses Tenergy in spin.",1
55,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"However, Tenergy has a better control, and has significantly more power.",2
56,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.",1
57,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.",2
58,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.",1
59,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Baracuda is not as heavy, but in my opinion, just as good.",2
60,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Tenergy is noticeably faster than Baracuda, though not quite as spinny.",1
61,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"If driving's your thing, use Tenergy.",2
62,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"If long, spinny rallies is how you tend to lean towards, Baracuda would be a better rubber.",2
63,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,Ten has higher throw angle,2
64,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,Ten is heavier,2
65,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Ten is more sensitive to incoming topspin, though can be adjusted with blade or sponge layer",2
66,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,Bara is much more durable (according to reviewers),2
67,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,I also personally think that Baracuda is a much better rubber in terms of worth for money.,2
68,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.,1
69,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Yes, it is a little bit shocking since you would expect to get an extremely overpowered rubber for ~$80 a sheet but actually, Baracuda surpasses Tenergy in spin.",1
70,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"However, Tenergy has a better control, and has significantly more power.",2
71,5f686dfa6da47ec32a42ceaf,Tenergy 64 vs Tenergy 64 fx vs Tenergy 05 vs Tenergy 05 fx,"im a very big fan of tenergy 05, its great on both FH and BH, definitely not slow ( not blazingly fast either ) and an extremely spinny rubber, actually i rank its spin as second to hurricane",1
72,5f686f47a1e880dd66b5fdda,Tibhar Evo EL-P vs FX-P for flicks and brushing loops,Elp would be better if you brush,2
73,5f686f47a1e880dd66b5fdda,Tibhar Evo EL-P vs FX-P for flicks and brushing loops,FX-P has a grippier topsheet and softer sponge than EL-P and is comparable to the Tenergy FX series.,1
74,5f686f47a1e880dd66b5fdda,Tibhar Evo EL-P vs FX-P for flicks and brushing loops,I personally felt EL-P was better for blocking and FX-P for looping.,1
75,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share","EL-S is heavier and feels a lot harder, even though the numbers (sponge hardness) are not that different.",2
76,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share",Requires a better brushing contact and is less forgiving.,2
77,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share",Also EL-S is more spin-sensitive than MX-P.,1
78,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share","IMHO, MX-P feels easier to play with than EL-S, kinda more predictable.",1
79,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share","Way more linear than other BH rubbers that I've tried such as T05-FX, FX-P and Genesis M. You get back what you put in.",2
80,5f686f51a1e880dd66b5fde0,FX-P vs FX-S,FX-P is softer and has more catapult.,2
81,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,Mantra M is supposed to be easier to handle.,2
82,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,Genesis is probably spinner but that may affect the control.,2
83,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,German made rubbers like Gold Arc 8 have gone through a lot of development progress to finally arrive at a point where some equal t05 in spin potential.,1
84,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,"I liked GA 8, but I thought it was a bit like Donic bluefire M1.",1
85,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,"However, you might find it easier to generate spin with GA 8, while t05 has a higher maximum that not everybody can activate.",1
86,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,"I prefer GA8/50 to T05, but still give T05 a distinct edge in spin creation.",1
87,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,"At the high end both were close, but below that T05 created more spin more easily.",2
88,5f68727810fb22f7fce1f883,Gold arc 8 vs tenergy 05,"That advantage, for me, was more than compensated by GA8/50s handling in the short game, blocks, counters.",2
89,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,O7P is much faster and spinnier.,2
90,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,However O7P is a little bit lacking in grip if compared to tenergy or Rasanter.,1
91,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,I found Omega 7 to be one of the few with more grip than tenergy...,1
92,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"Although I do find the Pro topsheet a bit too soft, the DNA plays more direct.",1
93,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"DNA PRO M has less gears but easier to put rotation, easier to be agressive in shorter swing this is why i want more DNA PRO M than Omega VII PRO.",1
94,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,-Has lower throw angle and thus smaller margin for error.,2
95,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,-Has more Spin potential (especially at harder shots); H3 seems to be generally spinnier in low input shots.,2
96,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,-Is a bit slower overall but has a higher ceiling for bottoming out this potentially can be faster/spinnier with the right stroke.,2
97,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,-has better feel for me; I can keep my pushes lower and place most shots with more accuracy as long as I’m taking care of the lower throw.,2
98,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,Therefore I usually played worse with TG2 than with H3.,1
99,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,"In any case, TG2 is more fun for me to play with than H3.",1
100,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,TG2 is a little bit slower and better control I think.,2
101,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,It gives me a little more control than TG2 and still makes my loops vicious.,2
102,5f6872e710fb22f7fce1f8af,Skyline TG2 NEO vs Hurricane 3 NEO,DHs H3 Neo is my prefered rubber with H2 Neo being second.,1
103,5f6872f110fb22f7fce1f8b6,DHS Hurricane 3 National (Blue Sponge) vs the NEO version of it,"Neo has a more modern sponge for the plastic ball, it will provide more power and control.",2
104,5f6872ff10fb22f7fce1f8bd,Donic BlueStrom Z2 vs Xiom Omega V Asia for fh? (on a Stiga Offensive Nct CS),Or Acuda P2 if you want lower throw and even more control.,2
105,5f68730210fb22f7fce1f8bf,TIBHAR EL-P vs MX-P,MX-P is faster and harder and has a lower arc.,2
106,5f68730210fb22f7fce1f8bf,TIBHAR EL-P vs MX-P,"Given this specs the MX-P is more difficult to play, but if you have the power and the proper technique you will find it a better rubber for your forehand.",2
107,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"Producing spin, for me, felt a bit easier with GA8 than with Mantra M in serving and in pushes.",1
108,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"When looping and counterlooping both produce good quality shots, close to each other.",2
109,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"Both are very fast, but (again, to me) feel very controllable.",2
110,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"Both are modern tensor-type rubbers, of course, but both are not extremely bouncy.",2
111,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"I could cope with either of them in the touch game, but I think that's very level-relative.",2
112,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,GoldArc should be somewhat spinnier but i like the Mantra M as a bh rubber better because it is not spin sensitive abd it is more bouncy.,1
113,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,Much more spin sensitive than Mantra M.,2
114,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"Just by that it is easy to say Mantra is more linear, has better topsheet and lasts longer.",2
115,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"But I thought the Mantra M was a different beast altogether, up there with tenergy05 (and quite similar in the Made-in-Japan style playing characteristics).",1
116,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,It is faster than a lot of esn rubbers.,2
117,5f68739df57afe037caed073,DHS Goldarc 8 vs Stiga Mantra M,"To be honest, Mantra H's speed is more on the Bryce Speed range so it is not surprising that people find it too fast.",1
118,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,I just feel it lacks the powerful kick H3 has when you do power loop.,2
119,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,So I thought the high end Omega VII might offer a better sponge.,2
120,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"Actually, vega china is faster than h3 and needs lesser effort.",1
121,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"With O7A, you will have a fster rubber but somewhat lesser spin on pure loops.",2
122,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"With powershots away from the table, it outclasses H3.",2
123,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,Alot more gears and more spin than H3.,2
124,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,The spin is mediocre compared to H3.,2
125,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,It sounds like you find vega china to be as good as H3.,1
126,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,Omega VII Asia would be a modern tensor rubber that plays completely differently from H3.,1
127,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"It may be slightly less bouncier and offers somewhat more control than other tensor rubbers, but it would never replace H3.",2
128,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,Because I can control H3 way better.,2
129,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"Not really, vega asia is softer.",2
130,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,H3 has much better spin (like 2x of b2) and control.,2
131,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,"However when boosted/speed glued properly, B2 Provincial is still playable and is a cheaper alternative than H3P.",1
132,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,The sponge absorbs booster better and is much cheaper,2
133,5f6873d2f57afe037caed087,Omega VII Asia vs Hurricane 3,Tibar K2 is very much like h3 boosted without needing any and xiom vega China and nitakku h3 turbo also,1
134,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"G1 is pretty close to the ever-popular, dearly-departed Adidas P7.",1
135,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"G1 is definitely faster than Baracuda, pretty much equal in spin on stronger strokes.",1
136,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"Baracuda gives more spin on lower-effort shots though, which makes it more spin sensitive as well, as you've mentioned.",2
137,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),baracuda is less durable.,2
138,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"I tend to be aggressive when opening up off backspin so they're pretty much as easy as each other, but I got a faster ball with G1.",2
139,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"On ""softer"" openers, Baracuda seemed to generate a higher arc so it was easier in that sense.",2
140,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),The main difference is that G1 is a bit faster.,2
141,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"Quite similar overall, both good rubbers.",2
142,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),"G1 and Baracuda are from a similar ESN release cycle, have a lot of similar properties.",1
143,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),It needs more effort to list backspin for sure.,2
144,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),Baracuda was miles ahead for me.,2
145,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),Vega pro is not comparable to baracuda but rather Acuda S2.,1
146,5f687453f57afe037caed0c6,Fastarc G-1 (vs. Baracuda),I think Sigma 2 pro is closer to baracuda,1
147,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,"Rakza was fast too, but not so fast, it was quite spinny too, maybe a little less than mxs but can't be sure about that, and I could control it quite easily.",1
148,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,Mxs is spinnier but feels harder.,2
149,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,"Also, mxs is much more durable.",2
150,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,Rakza7 is about 4 times as durable than anything in the Evolution series.,1
151,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,"Anyway, MX-P is faster and better for direct play.",2
152,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,Rakza7 is spinnier.,2
153,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,"You're right, MX-S is better than MX-P, where the booster effect wears off pretty fast and it becomes eh...",1
154,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,But MX-S is less durable than rakza7 also.,1
155,5f687466f57afe037caed0ce,Rakza 7 vs Evolution MX-S?,"It may be considered durable because the sponge is hard, but Rakza7 has a sponge about as hard only with a lasting topsheet.",2
156,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"OK, so maybe it produces a little more spin than what I was using before (what WAS it?",2
157,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"Oh yeah.. the now defunct Three Sword Red Dragon, which was supposed to be ""better than Butterf-- Tenerg-""  and before that, Rakza 7), but it's hard to tell.",2
158,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"Maybe for the pro - Hurricane and Tenergy are the best.But in my level and those below it, playing against tenergy, dignics wielding players , it is not the best.",1
159,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"Yes, they have more powerful spin and speedier when they hit it right.",2
160,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,But they sacrifice on control.,2
161,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,They would rather choose Donic Baracuda or Joola Explode.,2
162,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"The feeling of the sponge when ball goes through, the extra dwell on it, but i've only tried tenergy 05 and 05 hard and not others ( hard is not worth it to me) but normal 05 on bh is the best for me now, and on fh , most rubber i can play well just need adjust angle but i've been using h3 neo for so long so im used to that rubber for fh.",1
163,5f6c21e6035f29fdaf67ffa7,Are Tenergy/Dignics rubbers really the best?,"I like that T05 pushes over the table are flat and spinny and gives you a decent serve return that sometimes causes opponent to net if you push fast enough,bear in mind this is one of the highest/arcing throw rubbers so the best of both worlds,even on my thin flex def blade,+longer lasting than most factory boosted rubbers so the extra cost evens out somewhat in the long runI also tried Dignics 05 and for me was inferior to T05 on all shots,serve return in particular where the ball was way too high and I couldn't find a way with it,maybe I'm too used to the t05 where everything seems to work on autopilot for me.",1
164,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,MX-S is a hard low-throw rubber similar to the best Chinese ones.,1
165,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,"I used to play with MX-S 1.9-2.0 mm on my FH before I started trying out hybrid rubbers.MX-S has the hardest sponge among the Evolution series (and thus is the heaviest one, I believe).",2
166,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,"Due to that, it isn't as springy as MX-P and feels a bit closer to the hybrid rubbers - although the throw is still higher than theirs.",2
167,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,I agree with the above - definitely more demanding than MX-P.,2
168,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,Chopping is spiny and easier then with other modern catapult rubbers but you need a solid technique to tame its speed even with minimal sponge thickness.,2
169,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,"Extreme short description.Overall, a faster rubber with control and high possible spin.Low to medium impacts - totally linear (like Karis) - you get out exactly what you put in.",2
170,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,"Soft topspin touch defense (think lobbers, retrievers, allrounder) easy to do with light wrist and short stroke.Ball does not rebound all crazy (only rebounds by what you did - zero additional) on the low/medium impacts, so chopping is easier to do than one would expect of an OFF rubber.",2
171,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,It sounds a little like Tibhar Hybrid K1.,2
172,5f6c221d035f29fdaf67ffc2,Opinions about Tibhar MX-S for FH or BH,"If not for having the awesome t05 , mxs would be next best thing to me, seems like a durable rubber, even more than t05",2
173,5f6c26766d99ef02106d724f,Loop/Counterloop rubber for FH; need help,I've used both T05 and Fastarc G-1 with great success on the VKM.,1
174,5f6c26766d99ef02106d724f,Loop/Counterloop rubber for FH; need help,"If you're looking for harder tensors, perhaps the Evolution MX-P 50 or the new Stiga DNA Pro H could fit.",2
175,5f6c26766d99ef02106d724f,Loop/Counterloop rubber for FH; need help,"I use MAX now, but used 2.0mm for a number of years.",1
176,5f6c26766d99ef02106d724f,Loop/Counterloop rubber for FH; need help,"will partly depend on how much capault the rubber has, as a low catapult hard rubber like H3 will require a lot more effort than say Rasanter 47, Omega 7 pro or MXP",1
177,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,"Sorry this won't be a direct answer.But in your situation, I would buy H3 Provincial, which is a very predictable rubber in my experience.",2
178,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,Noticeably better than the standard H3 and a reasonable price.,2
179,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,Loki GTX Pro is my current personal choice though for an H3 alternative.,1
180,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,I dont think that tackiness of H8 lasts longer than STN.,1
181,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,But on your FEXTRA blade DHS H39/H38 degrees will feel somewhat similar to STN.,1
182,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,"On 729 scale H47 will feel harder than STN, so H45 is probably closer.",1
183,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,"I like them much more than I liked the ""old school"" Chinese rubbers, as well as H3 neo.",2
184,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,"To be frank, i find that the Loki GTX pro allows me to reach similar sorts of level of play as the H3 National BS, but I am not an elite player by any stretch.To clean rubbers, I use a couple of drops of olive oil, which are spread all over and then wiped off immediately with a lint free cloth.",1
185,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,"As an aside, I took a look at the Burst rubber on my backup paddle and it is definitely more tacky than the newer STN on my primary paddle.",1
186,5f6c26ac6d99ef02106d726a,Palio HK1997 gold or 729 Bloom Power,Gearz is barely palpably harder than BD.,1
