,reply_split,classification
281,"To know if MX-S is right for you, you would of course need to use it a spell.In general, it is good to know the type of rubber and the hardness of sponge you prefer for your FH.",0
4174,Some people have said that they actually like it better after some of that tuning wears off.,0
1889,I was looking to buy new rubbers and in Germany i think they are available in stock at some retailers.,0
1213,"I guess adding spin just require to work von it (like i said i was too hesitant for looping and always took the safety shot with my BH, thats why looping technique isnt good tho).",0
807,I hate those sudden ball projections on my rubber.,0
2963,Rasant Power Grip is meant to be a hard sponge if I remember correctly so would not suit you if you like medium-soft sponge.,3
2051,(as it is in fact very good),0
2040,"Now, what you expect from those rubbers?",0
1449,"I forgot there is a new range of evo rubbers, that is why I though about quantum.",0
677,I like it as a bh rubber.,4
1786,I played both rubbers and I must say that hurricane 8 is better than 3 neo on hard varnished blades.,1
481,"I put words from yogi bear, and wait for responds.",0
833,"I actually have a sheet on that ""M8 Premade"" I got, the other side has T88-I on it.",0
4104,Not many comments from people like that.,0
1162,I've played with Genius for a while.,0
4013,"Or maybe it is because I can really dig hard when I push with short spin-pips, especially on return of serve, and still know the ball is going where i want it.",0
236,Just don't throw it around on the table.,0
610,For me Burst/Thor's Hammer was unforgiving for my slow swing speed.,0
893,"Regarding this thread, I finally figured out recently what I was doing wrong in my BH loops.",0
1183,"The thing with tacky Chinese rubbers in the backhand is that when it comes to a bh to bh rally or punchblocking, the ball has a tendency to hit the net.",0
262,"Ultimately, with a heavier top-sheet comes more power, but you can adjust this with your sponge layer.",0
95,"And that term best is still about preference and each person will feel something slightly different is ""best"".",0
1896,I somehow wouldn't make the described behaviour dependant on throw.,0
1881,It is slightly firmer but still very soft and very spinny,4
1327,A good looping blade such as the Nittaku Violin will also be high throw so you need to adjust accordingly.,0
459,"The blue sponge sheets here cost $10 extra ($40 instead of $30) and I'll betcha it's a gimmick - since you ONLY find the blue sponge on National and Provincial sheets, it's GOT to be better, therefore people will pay more for it.",0
3644,"I've only used Baracuda and none of the others (R7, S2).",0
218,If you want to change everything I would suggest to choose OFF- setup.,0
512,He had the original makers RECREATE Stellan Bengston's old blade and gifted it to Stellan in Calfornia.,0
259,"However, Baracuda still has a medium-high throw so they're both perfectly fine for looping.",2
411,"Once dried, ball will then stick for long time.",0
317,I also personally think that Baracuda is a much better rubber in terms of worth for money.,2
1730,Both rubbers have a decent high-throw but Rakza7 should be a little lower due to the harder sponge.,2
517,Why would he?,0
2244,"It was one of the most controlled rubbers i played with at time,in any stance.",0
4102,That surely helps.,0
263,"Baracuda is not as heavy, but in my opinion, just as good.",2
2075,"I've never used Calibra, but I've been using Rakza 7 on FH and Rakza 7 Soft on BH for 6 months and I'm completely happy with them.",0
489,I do not see it available in Blue Diamond sponge on their website and I do not know if that is the default sponge.,0
45,I think T25FX is better than T64 for blocking and short game.,1
1370,I don't think I was way off with the rubber I mentioned.,0
3542,I found Skyline TG3 Neo to be much easier to control than H3 Neo.,1
333,"Not sure of your playing level, but I'm around 1900-2000 USATT and haven't found any weaknesses to the Vega Japan/VKM combo.",0
936,I figured I would give the T88-I/T88-TAIJI a try since it is only $5 more than the paddle alone without rubbers.,0
4406,just stick with the T64 1.9mm.,0
78,Here is that video for you:,0
777,2-3 layers is enough.,0
270,Just don't throw it around on the table.,0
4370,Just posted a comparison for those two in another thread (exactly where they compare S1T and Hexer HD).,0
1054,"Anyway, MX-P is faster and better for direct play.",2
173,Is it better than anything else?,0
957,"If you like the rubbers, then get another one as a backup.",0
967,Indeed.,0
2061,Sent from my vivo X5Max using Tapatalk,0
3334,Most opt for medium throw on the BH for control reserving the high throw for the FH.If you're starting off it's not recommended to have a stiff blade and a high throw rubber.The little that I know of pips is that a stiff blade is beneficial.,0
827,Tibar K2 is very much like h3 boosted without needing any and xiom vega China and nitakku h3 turbo also,1
2808,Skyline 3 is player friendly and a bit faster than H3.,1
1788,"Many other rubbers are boosted too, and people get a lot more than 4 weeks out of it, so don't worry about it.",0
2197,Hello BS i would agree with carl.. t64 has a low throw and better on bh skills (less effort) but not okay performing drop shots over the net in service receive.,3
4163,"The bottom line is that M2 is the first "" T05 alternative"" I have tried that is acceptable, this after 4+ years with T05 and after spending way too much money on alternatives that I ripped off my blade in disgust, sometimes after just five minutes of play (see below).",0
1394,I think all of the Tenergy rubbers chop well on the FH.,3
1374,"It's cheaper, last long, high spin, very good control.",4
782,If you managed to a hand on the national 42 degree then you might need 6 layers.,0
1887,Will soon find out,0
3552,Ludwig,0
4159,bump.nobody else?,0
4334,at least two of us are waiting for your inputs...!,0
356,In those soft/slow topspin hits it gripped the ball very inconsistently.,4
903,"I haven't used any Sanwei rubber long enough to see if there are any delamination problems or anything of that sort (it really seems to be a problem with some LKT sheets, as well as Kokutaku 868).I played with the Sanwei premade all this afternoon (maybe 8 or 9 games of doubles) and, as expected, I had trouble distinguishing Taiji from T88-I (I'd flip the bat around once in a while).",0
782,"So, at less than 45gms cut, I'd say, it's still quite light, comparatively.",0
1291,EL-P has a much stiffer topsheet and an overall harder feel than EL-S.,1
261,Hmmm...Iskandar,0
663,After a couple months of playing the tackiness is still good (6/10).,3
1746,"Yours should be the B-type topsheet but the C-type, as it is used on the Light&Fast-version, may suit you as well.There's also a tensor-version and versions with japanese sponges but they may feel even softer than your 36-38° sponge.",0
435,   You can always rely on Iskandar to bring some levity to the situation.,0
2132,Baracuda is the most spinny rubber lve used.,1
2600,"[/quote]i dont have problems with proper technique and touchi'm playing T05 and uses all kinds of strokes loop, chop, push, flick, block, smash both fh and bh (more on fh, bh occasionaly as variation)and i'm looking for clone of T05 in terms of speed, spin from Xiom[/quote]Sigma is nothing like ten05.",0
1908,Iskandar,0
457,"You NEVER find it on ANY red sheets, and never on retail grade sheets.",0
1355,V>15 should be better here.You didn't understand me  I don't look for typical defensive rubber.,0
1758,Iskandar,0
3659,Acuda has no big difference with Baracuda.,2
405,"TheKLeifheit13, Thank you for chiming in with that recommendation.",0
1383,active blocking is great.,4
1744,"You probably have the purple/lavender/mauve or whatever you'd like to call it, which is 36-38° as it is used with the 2-side-loop version and on the softer biotech CJ8000.You can crank the hardness up up to 42-44° by just buying the related version but I recommend to try no harder than 40-42° first.",0
4007,Butterfly Spin Art?,0
423,I've tried O7P but not DNA.,0
3609,"So look for an ALL blade, cheap chinese rubber with good control and not too fast.",0
1506,40 degree,0
652,It was a matter of racket angle and use of wrist that was the problem.,0
966,"Due to this, I'm still looking for rubbers I can really like for FH and BH so long as they're within the criteria specified earlier.",0
780,"But, we could shave-off a min.",0
961,I'm looking very closely at a few new semi-tacky hybrid rubbers at the moment so it could all change in a flash.,0
4068,Problem with HD is that has no feel to it .,0
646,I guess I'll have to work on improving my technique..The Mech-Tek in 1.7mm seems to be out of stock currently and the 2.1mm may be more difficult to control on my backhand so I guess I'll have to wait.,0
2071,"Rakza 7 = spinny, heavy, better quality, also fast.",2
1805,"Wonder why I didn't tried it earlier.Good control, heavy spin, quick enough if you want.Hope this positive first impression lasts longer.",0
755,It comes in different sponge hardness...,0
347,Fxp is more of a direct sponge compression type of contact.,0
794,And Palio - the new AK47s seem OK quality wise but their older sheets were really hit and miss.,3
3607,"All of these are very cheap, and great way to start out.",0
546,because it's damn fast and still soft enough to feel the ball.,4
2243,"I played with markV 2.0mm for more then 2 or 3 years,in speed glue era.",0
3582,"The 896 has a soft feeling combined with the hard sponge of the rubber, but practice is everything.",3
301,Tenergy has many complaints of it being non-durable.,3
280,Chopping is spiny and easier then with other modern catapult rubbers but you need a solid technique to tame its speed even with minimal sponge thickness.,2
1140,Sent from my iPhone using Tapatalk,0
1179,Genius chips on the edges easily.,3
961,I was looking for another paddle but it doesn't have to be exactly the same.,0
832,"Actually, the commercial non neo h3 absorb boosters really well.",3
176,"By the sound of the above ""wishlist"" from you, your equipment is an overkill",0
774,H3 neo is better after 6layers of Falco booster,3
1171,"The closest I know (Mantra M) I can get for 35, the closest Tensor I know (Aurus Prime) for even less.",0
3567,"Power is not important for beginner.Both sides of Chinese rubbers could be too heavy combination, so I recommend something lighter like LKT Rapid Speed on BH.",0
954,In any case.. it's a $15 bat.,0
630,That's a backhand rubber if I've ever seen one.,0
944,And TinArc 5 ... TinArc being Euro series ... 36 deg European hardness scale  ....,0
1926,I have played with Rising Dragon once.,0
1492,"I haven't played with a proper high end soft non-tacky rubber, but I'm very fond of medium-hard/hard tacky.",0
1489,Chinese rubbers will definately give you more spin in general!,2
1079,I like Rakza 7.,3
757,Forget any other tacky rubbers or hybrid euro/Chinese rubbers out there because they really just don't live up to H3 at the end of the day.,0
844,"Nope, no glues.",0
69,"2) T64: Faster, Less Spin, Lower Throw Angle.",2
2659,for this kind of game i find willow blades extremely suitable .ie bty defence II - i remember it absorbs power on passive blocks/chops but has a second gear in attack.also in 90s my coach (used to be a member of moldova team in ussr) played double inverted chopper/allround style with Tackiness C on Bty Grubba all+.,0
483,I'm actually downgrading to the stock blue diamond sponge to try and find a sponge I can activate that's still hard enough to stand up to my normal loops.,0
302,"It's very spinny and has decent top end speed, but it's not super bouncy.",3
478,"I do this immediately after playing and then attach protection sheets, which will stick quite nicely to tacky rubber.",0
485,So for me DNA pro M is more like Rasanter 47 big brother than OP7 because its not from the same place factory so I know something more than this is better because it's better and that's all,0
4143,"I did get a hit with the Rasant the other month and it felt good, I didn't get the Blue fire as when I ordered them the rubbers where lost in post so when I got my money back from the seller I got a fully bty set up as in my sig I got a sheet as a tester from someone else at the club as they didnt like it.The Rasant I used was pretty fast, at least 2.1m sponge when I measured it with the ruler.",3
276,MX-S is not forgiving rubber to cover weak side.,3
1402,Topsheet: really grippy which doesnt wear off for a long time,0
899,I'm not into boosting rubbers nor do I want to spend an excessive amount of money.,0
4088,"OT: When I saw ""Inquiry"" and ""Rasant"" my thoughts went to the legality question referenced in other sections / threads.",0
675,And as it states they sure are grippy.,4
345,"Would a softer thinner sponge make looping easier with either a ""high catapult"" or ""low catapult"" rubber, or would harder thicker sponge make it easier with both?",0
2230,just flick it,0
541,I guess that is why they are thinking of discontinuing BD.,0
4027,But a good player like carbonman gets even more spin than that with normal tensors.,0
760,Yasaka Shining Dragon is a mid-hard rubber but much lighter than Chinese stuff.,3
397,The sponges may be different but that wasn't my primary complaint about the STN so it may or may not matter for me to go with a different rubber.,0
497,"I remember one tip - if it actually says ""National Version"" (in Chinese) on the back then it's fake.",0
294,Both are very troubling to cope with.Topsheet very grippy.,0
4263,Good to see it's on the ITTF list.,0
217,"I was surprised at the poor boosting results I got with Dignics 05,the result with Falco long was very little expansion of the rubber and little to no improvement in the game,why are you boosting some might ask?my blade is slow and perfect for the ox pips and needs something with extra kick for effective f/h attack,same amount of booster gets a good result with T05",0
174,"To tell the truth, I really can't tell.",3
437,The trick seems to be determining whether the one you buy is real or fake.,0
2655,I don't know how the blade compares to your Meteor 8512 since I have not tried it...,0
240,"Tenergy is noticeably faster than Baracuda, though not quite as spinny.",1
1319,"Lol, you should give important info, what kind of rubber do you use, playing style, experience, etc.",0
1907,"There's probably exact clones of any given rubber in some other brand, there's only so many variations you can have.",0
1126,"The topsheet is very grippy, almost like Chinese rubber.",4
2219,Due to the low throw you can keep the blocks low.,0
348,It requires good touch.,4
787,Vega china is at 54 to 55 degrees.,3
256,http://blog.tabletennis11.com/tibhar-ev ... ers-reviewIskandar,0
1498,Sanwei Target National,0
543,"That would make sense if the hardness was similar but the sponge was more ""active"".",2
367,My experience matches Ilia's .,0
1354,Didn't tried it but it's not what I look for.,0
320,"Eric T, AUS",0
1799,So proper extra care to maintain it by using a soft damp sponge to clean after play and protective sheets to prevent dust accumulation is mandatory  Also no rubbing it on your sweaty jersey or pant-legs or towel.,0
3586,I gave all of them away.,0
2044,feel?,0
1300,For a direct comparison the AK47 Blue is slightly faster but actually significantly less grip so you are not going to get higher throw from it.,2
845,"It's not Chinese, it's a Tensor - and a bloody expensive one, or so I thought.",0
2138,Rakza 7 has also good spin not as much as baracuda but I think it comes close to Tenergy 05.,1
740,"With O7A, you will have a fster rubber but somewhat lesser spin on pure loops.",2
2810,"Skyline is also mid to close, but with a slightly higher throw angle making it more susceptible to attack in its short game.",2
4160,I have used BF M2 for a week or so after several years of T05.,0
1914,MX-P is a bit heavier.,2
1049,Mxs is spinnier but feels harder.,2
1134,G1 is one of them.,0
2063,"But I would say the Evolution you would want to try is MX-P, not MX-S",0
467,"O7P could be great for a player on BH, and I would play much better (hit faster, spinier shots) with a slower control rubber that is kinda on the soft side.",3
104,Results may vary.,0
4340,"Hi our top player here uses hexer HD on his BH and OIV euro on FH, on a BBC 7-9-7 blade ( supplied by me ) and he tells me the OIV is faster spiner and less effected by incoming spin.",0
3651,"Baracuda and S2 don't differ very much, but the Baracuda is somewhat spinner, while the S2 plays a bit flatter.",1
696,"And with this setup, I find my BH to have more control with a tackier rubber.",3
931,so what does this mean for opening up backspin balls with an attack.,0
401,Never tried mantra,0
795,H3 has much better spin (like 2x of b2) and control.,2
3563,BTW I cant find Avalox in Thailand .Still a little bit afraid that the XOS is too fast for me,0
976,May I throw in Vega Pro.,0
1345,"So if that's the cause of many mistakes, and it outweighs the number of winners you hit, only then it'w worth considering something else.Are you using 2.1mm or 1.9mm?",0
1402,"If i have good player who isn't scary and loop, I play rather classic defense, chop both sides and try to attack when he makes mistake.",0
818,"I'm not familiar with Hurricane Turbo, heard its faster than the original Hurricane which was itself a notch faster than the 999T.",1
200,Always interesting to hear different point of views.Good point on the longevity.,0
4283,When is it you walk off the street into a TT club right into a pickup doubles match and everyone but yourself is using darksider equipment.,0
404,"I like them much more than I liked the ""old school"" Chinese rubbers, as well as H3 neo.",2
1380,Compared to the Mantra M id say the catapult isnt as prominent and the rubber is not as fast.,2
2014,If you are youngish and are at a good amateur level then forget about Chinese rubbers.,0
1777,"For BH, you need to be more specific in what type of rubber do you want",0
1107,Even did a brief stint with Genius.,0
1188,"Tensor rubber is not ""more risk more reward"".",0
2937,Joola maxx series is slightly faster having used the 400.,1
3332,"Am I wrong in thinking that a higher throw angle results in a greater arc+spin, thus causing the ball to land sooner (And in turn further in from the edge of the table)?Thank you so much for your input!",0
4647,Calibra is very quick but lacking in the spin department.,3
959,"Iskandar,What you say makes too much sense to be helpful.",0
937,"But, I want the option to replace the rubbers in case I don't like them or if they go dead since my current backup is very much different.",0
790,"Thanks for your reply Yogi, I really appreciate your opinions.",0
63,There is a video that explains decently what the difference between each one is.,0
935,"I tend to be aggressive when opening up off backspin so they're pretty much as easy as each other, but I got a faster ball with G1.",2
3652,"If your game is all about looping, I'd go with Baracuda.",0
731,I have tried Vega China.,0
3337,Technically rated as a tensor and it seems it can be used / or was designed with speed glue in mind.,0
811,"The old commercial non Neo H3, is it more tacky and spinny than the new Neo H3?",0
247,"Ten is more sensitive to incoming topspin, though can be adjusted with blade or sponge layer",2
390,It's very spinny.,4
1424,"With more power becomes really fast, but spill not too spinny.",4
2001,"Thickness won't matter for serves, but it does matter for high impact shots, so choose thicker if you're more aggressive, and you can handle the loss of control.",0
1091,On tabletennis11 the black 2.0 is out of stock,0
2060,"Sorry, I want the faster ones that have good spin as 05",0
1326,The blade is also a factor.,0
199,"I was going to say, start from Timo Boll All and work the way up.",0
849,"I have a sheet, still haven't mounted it to a blade yet (it'll probably replace the Rakza X when I decide it's too far gone to boost yet another time).",0
1400,Thanks for valuable answers!,0
683,I will buy the Mech-Tek when it is time to change the current rubbers since my game should have progressed quite a bit by then.,0
166,For most players they are not the best.,0
981,I think Sigma 2 pro is closer to baracuda,1
770,"Thanks for your reply Yogi, I really appreciate your opinions.",0
574,My impressions are (TG2 vs. H3) that TG2:,0
1113,"Hey NextLevel,",0
283,"If you have the hard hitting stroke, sure, it could be for you.I have over time discovered that soft sponged modern dynamic rubbers are my sweet spot on FH, a few rubber up to medium sponge.",0
107,"Hi all, I've used T05 for a short time 7 years ago, too hard for me, then T05fx when it arrived in the market, a bit better but still hard even ewwith the softer sponge, surely due to the pimp construction, so the hardness of the sponge change not so much the ""feeling"" for me, then I switched to T64fx which is a great one in my opinion based on my play and my strokes.",0
1340,Thanks for the advance.I played County as a kid and had a low national ranking.,0
1181,"As you said yourself, your current rubbers are dying, so newer rubbers should play better.",0
1160,I wonder what would be the benefit/difference.,0
264,"I feel that it allows for a little bit more spin that MX-P - but again, less than tacky rubbers do.",3
4281,I originally made this for a German Pimple TT Forum (Pimp My Blade) so don't be turned off by the German title.,0
753,"I've tried the Yellow, and Blue, and I quite like both, as long as they're paired with a blades that're on the stiffer side...",1
1406,"So why couldn't I play with Tenergy on VKM  I will probably take 05, try it out for about 3 months, if I won't be able to play with it, I will back to H8.",0
548,"Gearz would keep most of the ease of play you get with BD, but add an extra 15% or more speed-wise.",1
2195,have you ever tried your T05fx on a bouncy all wood blade like Rosewood?,0
1412,I'd go for the standard rhyzm,0
1180,Omega V Tour is also good.,3
771,Will play similar but one of the lightest rubbers there is.,0
1743,"Yes, they are.",0
579,Anyone else?,0
2622,"So, Please, feel free to start the aforementioned thread.",0
680,It is not that the X3 Diamond is bad - far from it.,3
498,"Made sense back when ""National Version"" meant personal rubber, probably not so much any more, with DHS selling their own official ""National versions"" with holograms.",0
614,"ckwsp101, Thank you for sharing your experience with these rubbers.",0
371,"Indeed, that is why I switched to MX-P on my backhand.",0
2015,The difference in technique is too great and you'll eventually return to T05 after a long and expensive experimental journey.,0
2650,"Presently I am using the Supersoft 1.5 mm for that and I like it, but it is on my combination bat (with Meteor 8512) and I like to try a two-winged inverted style of chopping/attacking.",0
4346,A lot of the top Victorian players are using Hexer HD.,0
633,"ckwsp101, Apologies for not being clear with my question; I was asking if you used Mech-Tek in 1.7 or 2.1 mm when you said it was too bouncy and hard to control.Regarding Zero with Blue Diamond sponge, how did you find the overall experience as compared to the Sevens?",0
2039,That is what i think.,0
329,I use the VKM blade as well and have used Xiom Vega Japan for about 5-6 years now.,0
933,is it easier with the fastarc due to the amount of spin which is to override,0
1781,fast or normal speed?,0
1387,i think when the sponge isnt engaged the ball flys into the net (which is a key difference when playing with tenergy05 to which this rubber was compared alot).,0
1731,"SInce the CJ8000 is available with different hardnesses and, actually, up to 3 different top-sheets I'd like to know which one you are using actually?Would you mind telling me the version, if known, and the colour of its sponge?",0
2078,"I would prefer them a little lighter, but you can't have it all...",0
1114,"Since G1 is harder than R7, do you have to actually hit harder to engage a bit more sponge to create a safer attack with an arching topspin?",1
4655,I think Calibra and Rasant would be bouncier than Roxon in the short game department.,0
414,But ...On the other hand why do we need tackiness?,0
2583,Easy to control And spin.,3
287,Speaking of MX-K... What's THAT like?,0
4660,No problem - it's tricky talking about rubber sometimes when you don't know where the other person is at (hence my use of question marks).,0
199,Thank you all guys for the replies.,0
173,"I would suggest t05fx, it is softer more control and less speed, but still not slow.",2
552,I like it on both sides in the regular Blue Diamond sponge.,0
217,"Final change to OFF blade is only for really advanced players, when they lack of speed with allround blade and off rubbers.",0
962,"If you're prepared to use booster and don't mind the faff, this is a good shout too.",0
169,I'm currently playing with a sheet of Tenergy 05 on the forehand.,0
582,At the amateur level many people including myself aren't trained to unleash the top speed/spin of TG2.,0
1887,What other rubbers do you have played so far?,0
256,"However, Tenergy has a better control, and has significantly more power.",2
4646,"Especially on the serves.Has to do with how soft the rubber is, hasn't it?Does anybody know how the other rubbers compare with roxon in those respects?Nille",0
228,"Ultimately, with a heavier top-sheet comes more power, but you can adjust this with your sponge layer.",0
1800,Topsheet will wear out after about 3 - 4 months though it will stay tacky throughout the life of the rubber.,0
2218,"When playing the T64 it need a high load to ""activate"" the rubbers potential which make the rubber great when push blocking.",0
905,equally well (or equally poorly) with both.,0
3318,For someone who has had little or no coaching you seem to be putting the effort into looking at how to improve.If you're dissatisfied with your FH rubber (I've no experience of jpen) you could consider sticking with the same rubber in a not so soft version - the Vega Europe.The Baracuda I wouldn't recommend - it's essentially an old rubber but for the Spin & Speed it gives it's not great on control.Genius Sound I know nothing about but it's rated at 37.5 degree compared to the 42.5 degree of the Baracuda.,3
1393,Also you couldgo for fx-s instead of el-s for more control and less power.,1
343,Ordered the Xiom omega VII pro.Let's c if its plays well.Thank all for the help.Greetings,0
4382,The sponge of pro is definitely not harder than the asia( check the hardness ratings).,0
565,It starts off with high throw but will gradually lower to medium-low.,4
4098,Rasant is not especially good for my forehand stroke just like T05 isn't especially good.,0
1073,"I have had S2, MX-S and Rakza 7 2mm on both sides.",0
2648,"Speed ratings are useful, but they also depend on which stroke you play... can't really define the speed of a rubber by a single number...",0
499,Iskandar,0
204,IMHO Tenergy is not professional level rubber anymore.,0
838,3 layers in a span of 3 days with additional 2 days rest before gluing.,0
1385,"No idea about the level or play style, and frankly the site itself and reviews seem to exist only to show you Amazon affiliate ads.I'll also bet my nonexistent family farm that reviewer is not a chopper and most likely refers to pushes as 'chops'.",0
2145,Baracuda;,0
1512,Sent from my iPhone using Tapatalk,0
4071,"HD felt heavy and as you say ""no feel"".",3
402,TTDB/Revspin is bull?,0
288,Iskandar,0
4642,"Nille, give Rasant a go.",0
2059,(for faster improvement that is),0
307,"I can't really comment how easy either one is to use, since they're suited for different playing styles.",0
170,Sent from my iPhone using Tapatalk,0
4176,"But if performance declines, well I will know how to bring it back.Rasant is not one of the alternatives I've tried, so I can't compare.",0
393,Hurricane 3 provincial comes with yellow and blue sponge.,0
408,In reality its would much easier to start comparing rubbers and blades: Robots playing with Robots in an isolated environment.,0
1899,fast rubbers like t-05 and mxp kinda hinders progression of individual technique and too reliant on the rubbers itself providing you energy vs you swinging properly to make a good play.,3
1761,Why don't you try it first and check if your theory does match reality?,0
1470,"All the rubbers you have listed are softer rubbers , factory tuned , so I don't think it will last beyond 5 months.",0
2162,"For me, I love using chinese rubbers on my forehand side, especially Hurricane 3 Neo.",3
4183,"Looking forward to your reviews of M1, M3 and Rasant.",0
824,"I should make up another bat with 999 on it, some days it's been REALLY humid here.",0
4187,In the end I still like it better.,0
534,I noticed I had less power with BD on balls-out shots but found I got more spin on everything.,3
634,I've read that the Sevens sponge is too soft and feels dead.,3
1757,"Might be pain in extreme cases, I remember getting an actual crease in the topsheet once.",0
2609,But the rubber behaved so different on defplay classic that i hated it.,0
836,And how many layers?,0
615,I was worried that Mech-Tek would be too much for me to handle at this stage of my TT journey and you seem to be confirming that.,0
829,"Not really a problem IMHO for most people, what with the 40mm ball.",0
2589,I'M A TURK I CANT KEEP CALM,0
4354,"I'm sure both are very good rubbers and suitable for the higher levels, but I don't think we can let the numbers decide which is the better rubber.",0
951,"I love that rubber, and with a little bit of booster, is the best.",4
