thread_title,URL,author,num_reply
A rubber between MX-P and EL-S,showthread.php?23663-A-rubber-between-MX-P-and-EL-S&s=3c84fc5a7a3d606bd5e661f368ed3358,virtuososiu,119
Xiom Omega 7 China Ying and Butterfly Dignics 09c Comparison Test,showthread.php?23807-Xiom-Omega-7-China-Ying-and-Butterfly-Dignics-09c-Comparison-Test&s=3c84fc5a7a3d606bd5e661f368ed3358,yogi_bear,16
New Rubber from Stiga,showthread.php?23772-New-Rubber-from-Stiga&s=3c84fc5a7a3d606bd5e661f368ed3358,Nazmul Haque,15
Hurricane 3 neo,showthread.php?23680-Hurricane-3-neo&s=3c84fc5a7a3d606bd5e661f368ed3358,Omerspin,18
"Switching Rubbers, help me decide between Victas 15, Rakza 9 and Fastarc G1.",showthread.php?23773-Switching-Rubbers-help-me-decide-between-Victas-15-Rakza-9-and-Fastarc-G1&s=3c84fc5a7a3d606bd5e661f368ed3358,Reirom,12
What is the best alternative for Tenergy 05?,showthread.php?34-What-is-the-best-alternative-for-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,lgreggs,438
Timo Boll - How I glue,showthread.php?23943-Timo-Boll-How-I-glue&s=3c84fc5a7a3d606bd5e661f368ed3358,ttfunfan,31
TSP super ventus (SV) and Victas 07 sticky extra (07SE),showthread.php?23779-TSP-super-ventus-(SV)-and-Victas-07-sticky-extra-(07SE)&s=3c84fc5a7a3d606bd5e661f368ed3358,IB66,1
Softest Butterfly rubber for BH.,showthread.php?23761-Softest-Butterfly-rubber-for-BH&s=3c84fc5a7a3d606bd5e661f368ed3358,Mihkel Puhm,2
Mizuno GF T40 vs Nittaku Fastarc S-1,showthread.php?23762-Mizuno-GF-T40-vs-Nittaku-Fastarc-S-1&s=3c84fc5a7a3d606bd5e661f368ed3358,mat,0
not confortable at backhand,showthread.php?23709-not-confortable-at-backhand&s=3c84fc5a7a3d606bd5e661f368ed3358,Hel,15
Horrible experience by using DHS Skyline TG 3 Neo in Stiga Rosewood NCT VII,showthread.php?23693-Horrible-experience-by-using-DHS-Skyline-TG-3-Neo-in-Stiga-Rosewood-NCT-VII&s=3c84fc5a7a3d606bd5e661f368ed3358,Nazmul Haque,33
Yasaka Hovering Dragon rubber,showthread.php?23705-Yasaka-Hovering-Dragon-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,best_intentions,3
Short Pips Backhand Help,showthread.php?23692-Short-Pips-Backhand-Help&s=3c84fc5a7a3d606bd5e661f368ed3358,Ivek,14
Stiga genesis m vs mantra m on bh,showthread.php?23673-Stiga-genesis-m-vs-mantra-m-on-bh&s=3c84fc5a7a3d606bd5e661f368ed3358,Omerspin,6
In search of New setup,showthread.php?23675-In-search-of-New-setup&s=3c84fc5a7a3d606bd5e661f368ed3358,d3ss3n,0
Gold arc 8 vs tenergy 05,showthread.php?23656-Gold-arc-8-vs-tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,Omerspin,5
Anti spin rubber,showthread.php?23653-Anti-spin-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Omerspin,0
Andro Rasanter R48 - Suitable for whom,showthread.php?23368-Andro-Rasanter-R48-Suitable-for-whom&s=3c84fc5a7a3d606bd5e661f368ed3358,simios,41
Can someone recommend me some rubbers to go with a Mizuno Swifter MF blade?,showthread.php?23541-Can-someone-recommend-me-some-rubbers-to-go-with-a-Mizuno-Swifter-MF-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,BDK,1
BH and FH Rubbers,showthread.php?23485-BH-and-FH-Rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,Basmundo,25
Nittaku Hurricane 3 Pro Turbo Blue Sponge - Booster/Boosted?,showthread.php?23466-Nittaku-Hurricane-3-Pro-Turbo-Blue-Sponge-Booster-Boosted&s=3c84fc5a7a3d606bd5e661f368ed3358,prtxmr,7
Best Rubber for aggressive blocking and counter looping,showthread.php?23442-Best-Rubber-for-aggressive-blocking-and-counter-looping&s=3c84fc5a7a3d606bd5e661f368ed3358,Dman,18
In depth comparision of OSP Virtuoso- and Virtuoso+,showthread.php?16452-In-depth-comparision-of-OSP-Virtuoso-and-Virtuoso&s=3c84fc5a7a3d606bd5e661f368ed3358,anchorschmidt,44
Why are their restrictions for pips out rubbers?,showthread.php?23600-Why-are-their-restrictions-for-pips-out-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,sampletext,16
A Chinese rubber: first blood :),showthread.php?23389-A-Chinese-rubber-first-blood-)&s=3c84fc5a7a3d606bd5e661f368ed3358,doppelganger_LT,19
Offensive rubber that excels at mid distance,showthread.php?23450-Offensive-rubber-that-excels-at-mid-distance&s=3c84fc5a7a3d606bd5e661f368ed3358,Dman,1
best budget rubbers,showthread.php?23419-best-budget-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,Dman,11
Yasaka Rakza Z - Anyone Played with It? Review?,showthread.php?23400-Yasaka-Rakza-Z-Anyone-Played-with-It-Review&s=3c84fc5a7a3d606bd5e661f368ed3358,goodhand,8
Dignics 05 review 2.1mm,showthread.php?23378-Dignics-05-review-2-1mm&s=3c84fc5a7a3d606bd5e661f368ed3358,scrubplayer,37
Weight Difference between Hurricane 3 neo and Provincial blue sponge 39 degree?,showthread.php?23411-Weight-Difference-between-Hurricane-3-neo-and-Provincial-blue-sponge-39-degree&s=3c84fc5a7a3d606bd5e661f368ed3358,dfreeman012,0
Rubber Life,showthread.php?23338-Rubber-Life&s=3c84fc5a7a3d606bd5e661f368ed3358,Basmundo,7
Attacking Pushes,showthread.php?23330-Attacking-Pushes&s=3c84fc5a7a3d606bd5e661f368ed3358,MJW1718,4
"RPB Rubber, 729/Focus III Snipe, Palio AK47 Blue or other?",showthread.php?23315-RPB-Rubber-729-Focus-III-Snipe-Palio-AK47-Blue-or-other&s=3c84fc5a7a3d606bd5e661f368ed3358,davizoosk,0
Has anyone tried the Yasaka Mark V M2 rubber?,showthread.php?9262-Has-anyone-tried-the-Yasaka-Mark-V-M2-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,anchorschmidt,8
New rubber,showthread.php?23189-New-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,adi,3
Help with my Clipper CR,showthread.php?23166-Help-with-my-Clipper-CR&s=3c84fc5a7a3d606bd5e661f368ed3358,SpearRKO,2
Need a new BH rubber: O7P vs DNA Pro M?,showthread.php?23101-Need-a-new-BH-rubber-O7P-vs-DNA-Pro-M&s=3c84fc5a7a3d606bd5e661f368ed3358,Hamasaki_Fanz,27
Larc-2019a,showthread.php?20669-Larc-2019a&s=3c84fc5a7a3d606bd5e661f368ed3358,P1ngP0ng3r,14
Help with 50+ degree rubbers,showthread.php?22169-Help-with-50-degree-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,Renan Angelici,33
Help me find suitable substitute rubber to reduce total racket weight,showthread.php?23058-Help-me-find-suitable-substitute-rubber-to-reduce-total-racket-weight&s=3c84fc5a7a3d606bd5e661f368ed3358,doriant,10
Differences between Stiga DNA Pro and Victas v15 extra,showthread.php?23129-Differences-between-Stiga-DNA-Pro-and-Victas-v15-extra&s=3c84fc5a7a3d606bd5e661f368ed3358,Flight-Johan,1
Upgrading Ak47 Yellow on FH,showthread.php?23084-Upgrading-Ak47-Yellow-on-FH&s=3c84fc5a7a3d606bd5e661f368ed3358,Fernando Delfini,21
Is there a way to responsibly recycle dead rubbers?,showthread.php?21094-Is-there-a-way-to-responsibly-recycle-dead-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,virtuososiu,22
Best feeling allround plus blade,showthread.php?15610-Best-feeling-allround-plus-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,Paweł Banasik,71
What table tennis rubbers & blade do you use?,showthread.php?105-What-table-tennis-rubbers-amp-blade-do-you-use&s=3c84fc5a7a3d606bd5e661f368ed3358,Dan,993
Good forehand rubber,showthread.php?23091-Good-forehand-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Martijn Heemskerk,15
revivng dead rubbers?,showthread.php?23050-revivng-dead-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,Matei Aioanei,17
Help about new rubbers,showthread.php?23015-Help-about-new-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,BudMa,2
Rubbers for intermediate players,showthread.php?22953-Rubbers-for-intermediate-players&s=3c84fc5a7a3d606bd5e661f368ed3358,Matei Aioanei,11
durable rubber brand?,showthread.php?22998-durable-rubber-brand&s=3c84fc5a7a3d606bd5e661f368ed3358,M.Hoang,3
Blade + Rubber Advice,showthread.php?22977-Blade-Rubber-Advice&s=3c84fc5a7a3d606bd5e661f368ed3358,Brian Roque,12
Your Top 3 FH and BH Rubbers,showthread.php?22679-Your-Top-3-FH-and-BH-Rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,IAmNotWaldner,20
Stiga Airoc Astro M Replacement?,showthread.php?22924-Stiga-Airoc-Astro-M-Replacement&s=3c84fc5a7a3d606bd5e661f368ed3358,anjoooo,4
Meteor 9512 long pips,showthread.php?22965-Meteor-9512-long-pips&s=3c84fc5a7a3d606bd5e661f368ed3358,BastiBever,1
Best affordable Chinese rubbers 2019,showthread.php?20770-Best-affordable-Chinese-rubbers-2019&s=3c84fc5a7a3d606bd5e661f368ed3358,JulianTT,22
Donic Rubbers similar to Rakza 7?,showthread.php?22909-Donic-Rubbers-similar-to-Rakza-7&s=3c84fc5a7a3d606bd5e661f368ed3358,StuartMarquis,15
Donic Waldner Senso Ultra Carbon (V1) - Rubber Suggestions,showthread.php?22897-Donic-Waldner-Senso-Ultra-Carbon-(V1)-Rubber-Suggestions&s=3c84fc5a7a3d606bd5e661f368ed3358,Spike,5
Replacement FH rubber for Donic Acuda S1 Turbo?,showthread.php?22903-Replacement-FH-rubber-for-Donic-Acuda-S1-Turbo&s=3c84fc5a7a3d606bd5e661f368ed3358,pinkbee,0
Sup. What's the difference between Hexer Grip and the Rasanter series?,showthread.php?19387-Sup-What-s-the-difference-between-Hexer-Grip-and-the-Rasanter-series&s=3c84fc5a7a3d606bd5e661f368ed3358,Lightzy,12
Skyline TG2 NEO vs Hurricane 3 NEO,showthread.php?4276-Skyline-TG2-NEO-vs-Hurricane-3-NEO&s=3c84fc5a7a3d606bd5e661f368ed3358,TripleC,7
Where to buy Neo skyline 2 Blue sponge,showthread.php?22856-Where-to-buy-Neo-skyline-2-Blue-sponge&s=3c84fc5a7a3d606bd5e661f368ed3358,729B2,6
"XIOM Omega IV Pro, IV Asia, V Pro, V Asia",showthread.php?22857-XIOM-Omega-IV-Pro-IV-Asia-V-Pro-V-Asia&s=3c84fc5a7a3d606bd5e661f368ed3358,romanzdk,5
Vega X weight differences,showthread.php?23057-Vega-X-weight-differences&s=3c84fc5a7a3d606bd5e661f368ed3358,ZeroTT,8
Yinhe Jupiter 2 opinion.,showthread.php?22252-Yinhe-Jupiter-2-opinion&s=3c84fc5a7a3d606bd5e661f368ed3358,Kuba Hajto,11
Loooking for FH rubber for Stiga Allround Classic WRB,showthread.php?22656-Loooking-for-FH-rubber-for-Stiga-Allround-Classic-WRB&s=3c84fc5a7a3d606bd5e661f368ed3358,merlin el mago,21
Recommend a forehand rubber,showthread.php?22826-Recommend-a-forehand-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,BryanY,12
DHS Hurricane 3 National (Blue Sponge) vs the NEO version of it,showthread.php?22809-DHS-Hurricane-3-National-(Blue-Sponge)-vs-the-NEO-version-of-it&s=3c84fc5a7a3d606bd5e661f368ed3358,Maximilian2016,7
"Need help, finding a good BH rubber.",showthread.php?20188-Need-help-finding-a-good-BH-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,FelixTT,47
Do you need to boost Xiom rubbers?,showthread.php?22774-Do-you-need-to-boost-Xiom-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,MNS,10
European / Japanese Rubber for spin-oriented play,showthread.php?22746-European-Japanese-Rubber-for-spin-oriented-play&s=3c84fc5a7a3d606bd5e661f368ed3358,Kjell Willers,41
Dignics 05 1.9 or 2.1?,showthread.php?22712-Dignics-05-1-9-or-2-1&s=3c84fc5a7a3d606bd5e661f368ed3358,Basten4,8
Sanwei target national rubber,showthread.php?22771-Sanwei-target-national-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Aydın Ungan,5
short pips for close table,showthread.php?22701-short-pips-for-close-table&s=3c84fc5a7a3d606bd5e661f368ed3358,Madmazel,16
Donic BlueStrom Z2 vs Xiom Omega V Asia for fh? (on a Stiga Offensive Nct CS),showthread.php?22628-Donic-BlueStrom-Z2-vs-Xiom-Omega-V-Asia-for-fh-(on-a-Stiga-Offensive-Nct-CS)&s=3c84fc5a7a3d606bd5e661f368ed3358,m-rpb,5
Forehand rubber for hitter ?,showthread.php?22667-Forehand-rubber-for-hitter&s=3c84fc5a7a3d606bd5e661f368ed3358,Wister,12
TIBHAR EL-P vs MX-P,showthread.php?22658-TIBHAR-EL-P-vs-MX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,sirius13phobos,2
Forehand Rubber,showthread.php?22636-Forehand-Rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,IAmNotWaldner,3
Friendship 729 Rubbers,showthread.php?22593-Friendship-729-Rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,TAZY,18
Stiga Mantra <30 EUR,showthread.php?21921-Stiga-Mantra-lt-30-EUR&s=3c84fc5a7a3d606bd5e661f368ed3358,JulianTT,4
729 Friendship anti counterfeit code link?,showthread.php?22581-729-Friendship-anti-counterfeit-code-link&s=3c84fc5a7a3d606bd5e661f368ed3358,zimbara,1
anyone used battle 2 prov player version aka blue sponge,showthread.php?17668-anyone-used-battle-2-prov-player-version-aka-blue-sponge&s=3c84fc5a7a3d606bd5e661f368ed3358,729B2zzzz,48
Nittaku Hurricane Pro 3 Turbo Blue,showthread.php?21229-Nittaku-Hurricane-Pro-3-Turbo-Blue&s=3c84fc5a7a3d606bd5e661f368ed3358,BiGuang,121
New Tenergy Rubbers! Tenergy 05N and Tenergy 09C,showthread.php?16229-New-Tenergy-Rubbers!-Tenergy-05N-and-Tenergy-09C&s=3c84fc5a7a3d606bd5e661f368ed3358,TTHopeful,73
Yasaka to release Rakza Z and Rakza Z Extra Hard!,showthread.php?22618-Yasaka-to-release-Rakza-Z-and-Rakza-Z-Extra-Hard!&s=3c84fc5a7a3d606bd5e661f368ed3358,thomas.pong,9
MXP hard 50 degree,showthread.php?20532-MXP-hard-50-degree&s=3c84fc5a7a3d606bd5e661f368ed3358,Malcbarber,42
Different thickness rubbers in different,showthread.php?22575-Different-thickness-rubbers-in-different&s=3c84fc5a7a3d606bd5e661f368ed3358,TAZY,4
Donic defplay senso V3 FH rubber question,showthread.php?22437-Donic-defplay-senso-V3-FH-rubber-question&s=3c84fc5a7a3d606bd5e661f368ed3358,merlin el mago,8
Alternative that sits between Andro Hexer Grip and R47,showthread.php?22149-Alternative-that-sits-between-Andro-Hexer-Grip-and-R47&s=3c84fc5a7a3d606bd5e661f368ed3358,timdm,14
GEWO Nexxus EL Pro 50 or 53,showthread.php?21276-GEWO-Nexxus-EL-Pro-50-or-53&s=3c84fc5a7a3d606bd5e661f368ed3358,Basten4,36
Sanwei target 90 blue sponge,showthread.php?22378-Sanwei-target-90-blue-sponge&s=3c84fc5a7a3d606bd5e661f368ed3358,Aydın Ungan,2
"DHS Hurricane rubbers, need more clarification",showthread.php?22431-DHS-Hurricane-rubbers-need-more-clarification&s=3c84fc5a7a3d606bd5e661f368ed3358,Sankhma,0
Giant Dragon TopEnergy,showthread.php?958-Giant-Dragon-TopEnergy&s=3c84fc5a7a3d606bd5e661f368ed3358,olvarox,32
Nittaku Hurricane pro 3 Turbo Blue,showthread.php?22424-Nittaku-Hurricane-pro-3-Turbo-Blue&s=3c84fc5a7a3d606bd5e661f368ed3358,sirius13phobos,1
Faster BH rubber than T64 for Primorac blade,showthread.php?22417-Faster-BH-rubber-than-T64-for-Primorac-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,BrightFuture,7
looking for a softer rubber than xiom vega pro,showthread.php?6462-looking-for-a-softer-rubber-than-xiom-vega-pro&s=3c84fc5a7a3d606bd5e661f368ed3358,Butt Stallion,26
Previous Generation Rubbers and Slippage,showthread.php?22406-Previous-Generation-Rubbers-and-Slippage&s=3c84fc5a7a3d606bd5e661f368ed3358,Dream2K,0
Stiga Genesis 2 M rubber reviews,showthread.php?20112-Stiga-Genesis-2-M-rubber-reviews&s=3c84fc5a7a3d606bd5e661f368ed3358,yogi_bear,36
Donic m1 on bh?,showthread.php?22339-Donic-m1-on-bh&s=3c84fc5a7a3d606bd5e661f368ed3358,JohnS99,3
Performance loss (new glued) Xiom Omega iv euro - super first day - very bad 2nd day,showthread.php?22332-Performance-loss-(new-glued)-Xiom-Omega-iv-euro-super-first-day-very-bad-2nd-day&s=3c84fc5a7a3d606bd5e661f368ed3358,Gabgrohriel,17
Top 5 Most Popular Table Tennis Rubbers of All Time,showthread.php?22280-Top-5-Most-Popular-Table-Tennis-Rubbers-of-All-Time&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisDaily,30
Tenergy 05 Hard Advice please!,showthread.php?22264-Tenergy-05-Hard-Advice-please!&s=3c84fc5a7a3d606bd5e661f368ed3358,ridderz65,4
Rubber suggestions for a Jpen player,showthread.php?22156-Rubber-suggestions-for-a-Jpen-player&s=3c84fc5a7a3d606bd5e661f368ed3358,lasta,17
"Some new and some untried Chinese rubbers (Kokutaku, Yinhe, Globe 999)",showthread.php?22145-Some-new-and-some-untried-Chinese-rubbers-(Kokutaku-Yinhe-Globe-999)&s=3c84fc5a7a3d606bd5e661f368ed3358,yogi_bear,7
Rubber warmer by Donic,showthread.php?14437-Rubber-warmer-by-Donic&s=3c84fc5a7a3d606bd5e661f368ed3358,ttpshot,54
Does this racket look right to you?,showthread.php?22204-Does-this-racket-look-right-to-you&s=3c84fc5a7a3d606bd5e661f368ed3358,delerious,3
High spin rubber setup (2) for brush/loop forehand practice,showthread.php?22093-High-spin-rubber-setup-(2)-for-brush-loop-forehand-practice&s=3c84fc5a7a3d606bd5e661f368ed3358,hrbngr,34
Similar to Pimpleholics Jengking,showthread.php?21981-Similar-to-Pimpleholics-Jengking&s=3c84fc5a7a3d606bd5e661f368ed3358,Kudarat,2
What happened to Battle II?,showthread.php?22065-What-happened-to-Battle-II&s=3c84fc5a7a3d606bd5e661f368ed3358,JulianTT,10
Questions about gluing rubbers,showthread.php?21503-Questions-about-gluing-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,GusShnaps,10
(Best) allround/allround+ rubbers,showthread.php?22008-(Best)-allround-allround-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,thot,13
Lightweight inverted rubber with hard/tight topsheet,showthread.php?21986-Lightweight-inverted-rubber-with-hard-tight-topsheet&s=3c84fc5a7a3d606bd5e661f368ed3358,lasta,5
What Tenergy suits the Stigande Clipper blade?,showthread.php?1384-What-Tenergy-suits-the-Stigande-Clipper-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,Anders,29
classic Rubber still suggestion,showthread.php?21874-classic-Rubber-still-suggestion&s=3c84fc5a7a3d606bd5e661f368ed3358,LittleSeki,19
aurus vs rakza 7,showthread.php?21919-aurus-vs-rakza-7&s=3c84fc5a7a3d606bd5e661f368ed3358,bhupen kumar,0
Could Japan beat MaLong to obtain the Olympic gold.,showthread.php?21908-Could-Japan-beat-MaLong-to-obtain-the-Olympic-gold&s=3c84fc5a7a3d606bd5e661f368ed3358,igorponger,3
Mxp-50 boosted or stiga mantra h boosted,showthread.php?21868-Mxp-50-boosted-or-stiga-mantra-h-boosted&s=3c84fc5a7a3d606bd5e661f368ed3358,ilnigro,20
DHS Goldarc 8 vs Stiga Mantra M,showthread.php?21829-DHS-Goldarc-8-vs-Stiga-Mantra-M&s=3c84fc5a7a3d606bd5e661f368ed3358,zimbara,19
Alternative to smelly Chinese rubbers,showthread.php?20881-Alternative-to-smelly-Chinese-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,frankhond,95
Stretching Rubber because its too small?,showthread.php?21770-Stretching-Rubber-because-its-too-small&s=3c84fc5a7a3d606bd5e661f368ed3358,psych123,15
Gewo Nexus EL Pro 48,showthread.php?19702-Gewo-Nexus-EL-Pro-48&s=3c84fc5a7a3d606bd5e661f368ed3358,Basten4,19
Cheaper T05H - T05 Combination Alternative,showthread.php?21505-Cheaper-T05H-T05-Combination-Alternative&s=3c84fc5a7a3d606bd5e661f368ed3358,burhanayan,31
729 Battle II Rubber Review,showthread.php?17895-729-Battle-II-Rubber-Review&s=3c84fc5a7a3d606bd5e661f368ed3358,Lightzy,74
STIGA DNA Pro,showthread.php?21794-STIGA-DNA-Pro&s=3c84fc5a7a3d606bd5e661f368ed3358,pingpongcho,92
Equipment assistance,showthread.php?21935-Equipment-assistance&s=3c84fc5a7a3d606bd5e661f368ed3358,Matthias Ngai,26
Rubber suggestions?,showthread.php?21852-Rubber-suggestions&s=3c84fc5a7a3d606bd5e661f368ed3358,jamieb2,18
Hybrid Rubbers and factory tuned rubbers,showthread.php?21702-Hybrid-Rubbers-and-factory-tuned-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,LittleSeki,26
Difference between MX-P and Victas V15 Extra?,showthread.php?21698-Difference-between-MX-P-and-Victas-V15-Extra&s=3c84fc5a7a3d606bd5e661f368ed3358,psych123,17
Falcon booster for old Tenergy 05,showthread.php?21677-Falcon-booster-for-old-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,tolian21,4
Tibhar Evolution MXP or Andro rasanter R47 hard flat strokes,showthread.php?21031-Tibhar-Evolution-MXP-or-Andro-rasanter-R47-hard-flat-strokes&s=3c84fc5a7a3d606bd5e661f368ed3358,Harry070,45
Why pro and amateur have similar setup ?,showthread.php?21639-Why-pro-and-amateur-have-similar-setup&s=3c84fc5a7a3d606bd5e661f368ed3358,Wister,14
Your opinions on Gambler inverted rubbers?,showthread.php?21628-Your-opinions-on-Gambler-inverted-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,Zaccai,2
Racket set up suggestions,showthread.php?21591-Racket-set-up-suggestions&s=3c84fc5a7a3d606bd5e661f368ed3358,jvbIOY,3
"Choice between Mantra M, Genesis 1S or Genesis 2S ?",showthread.php?21540-Choice-between-Mantra-M-Genesis-1S-or-Genesis-2S&s=3c84fc5a7a3d606bd5e661f368ed3358,Wister,26
Currently thinking of switching from T05-fx to Hurricane 3...,showthread.php?21552-Currently-thinking-of-switching-from-T05-fx-to-Hurricane-3&s=3c84fc5a7a3d606bd5e661f368ed3358,Joestine,20
Boosting Rubber?,showthread.php?14674-Boosting-Rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Darren Maudling,24
Revspin Rubber Ratings,showthread.php?21542-Revspin-Rubber-Ratings&s=3c84fc5a7a3d606bd5e661f368ed3358,JulianTT,8
Omega VII Asia vs Hurricane 3,showthread.php?21474-Omega-VII-Asia-vs-Hurricane-3&s=3c84fc5a7a3d606bd5e661f368ed3358,SFF_lib,40
Good rubber for lifting/attacking backspin (BH),showthread.php?21526-Good-rubber-for-lifting-attacking-backspin-(BH)&s=3c84fc5a7a3d606bd5e661f368ed3358,Vxneji,31
fh rubber - Andro R42 or Xiom Omega IV,showthread.php?20731-fh-rubber-Andro-R42-or-Xiom-Omega-IV&s=3c84fc5a7a3d606bd5e661f368ed3358,mat,1
Spinny aliexpress ruber,showthread.php?21532-Spinny-aliexpress-ruber&s=3c84fc5a7a3d606bd5e661f368ed3358,tutas_piotr,26
T05+T64 combination alternatives,showthread.php?21513-T05-T64-combination-alternatives&s=3c84fc5a7a3d606bd5e661f368ed3358,CallumMcKinnon,9
Confusion in deciding which rubber and blade to go with (Intermediate level),showthread.php?21504-Confusion-in-deciding-which-rubber-and-blade-to-go-with-(Intermediate-level)&s=3c84fc5a7a3d606bd5e661f368ed3358,akshayvarma,9
Rule Approved! New colour rubbers as of 2020!,showthread.php?20874-Rule-Approved!-New-colour-rubbers-as-of-2020!&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisDaily,163
Removing glue from rubber topsheet?,showthread.php?15482-Removing-glue-from-rubber-topsheet&s=3c84fc5a7a3d606bd5e661f368ed3358,young dude,19
Jupiter II Max Tense,showthread.php?21492-Jupiter-II-Max-Tense&s=3c84fc5a7a3d606bd5e661f368ed3358,JulianTT,35
"Going back to Tenergy 05 hard ,not liking the boosted H3 nat at all",showthread.php?21460-Going-back-to-Tenergy-05-hard-not-liking-the-boosted-H3-nat-at-all&s=3c84fc5a7a3d606bd5e661f368ed3358,LucasMcCaine,19
Forehand Rubber for TSP Hino Carbon Power,showthread.php?21456-Forehand-Rubber-for-TSP-Hino-Carbon-Power&s=3c84fc5a7a3d606bd5e661f368ed3358,driversbeat,1
Help - hard and tacky BH rubber,showthread.php?21396-Help-hard-and-tacky-BH-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,darkmoor1,45
Best Rubber for Rosewood NCT V ( Penhold)?,showthread.php?21299-Best-Rubber-for-Rosewood-NCT-V-(-Penhold)&s=3c84fc5a7a3d606bd5e661f368ed3358,Sagakichi,6
Supergrippy non-bouncy rubbers,showthread.php?21120-Supergrippy-non-bouncy-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,perham,27
asking for some informations about victas v15 stiff,showthread.php?21184-asking-for-some-informations-about-victas-v15-stiff&s=3c84fc5a7a3d606bd5e661f368ed3358,shinhyun,5
Tibhar el-s,showthread.php?21153-Tibhar-el-s&s=3c84fc5a7a3d606bd5e661f368ed3358,Nasius,23
